text,label,cluster
"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",2,3
turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,1,3
One suspects that Craven endorses They simply because this movie makes his own look much better by comparison .,2,3
Leigh is one of the rare directors who feels acting is the heart and soul of cinema .,5,0
Ah-nuld 's action hero days might be over .,2,4
Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,1,4
"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",4,3
Femme Fatale offers nothing more than a bait-and-switch that is beyond playing fair with the audience .,2,2
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,3
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,3
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
The 50-something lovebirds are too immature and unappealing to care about .,1,4
"A classy , sprightly spin on film .",5,2
"Ratliff 's two previous titles , Plutonium Circus and Purgatory County show his penchant for wry , contentious configurations , and this film is part of that delicate canon .",4,0
Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,1,4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5,2
"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",4,2
They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,2,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,3
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,3
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
What a bewilderingly brilliant and entertaining movie this is .,5,0
"A triumph , a film that hews out a world and carries us effortlessly from darkness to light .",5,2
"But it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker .",4,4
"I 've never seen ( a remake ) do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic ...",1,0
turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,1,3
The acting is n't much better .,1,4
Everything that was right about Blade is wrong in its sequel .,2,3
Too bland and fustily tasteful to be truly prurient .,2,2
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,3
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,3
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
"Good , solid storytelling .",5,1
"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",2,3
Everything that was right about Blade is wrong in its sequel .,2,3
Guys say mean things and shoot a lot of bullets .,2,4
"Halfway through , however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .",2,3
"Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .",1,2
"After seeing ` Analyze That , ' I feel better already .",4,4
There 's a sheer unbridled delight in the way the story unfurls ...,4,2
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,3
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,3
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
A conventional but heartwarming tale .,5,2
"What soured me on The Santa Clause 2 was that Santa bumps up against 21st century reality so hard , it 's icky .",1,4
"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",4,3
"With not a lot of help from the screenplay ( proficient , but singularly cursory ) , ( Testud ) acts with the feral intensity of the young Bette Davis .",3,3
"Full of flatulence jokes and mild sexual references , Kung Pow !",2,4
The pitch must have read like a discarded House Beautiful spread .,3,1
The biggest problem with this movie is that it 's not nearly long enough .,3,4
"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",5,2
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,3
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,3
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
