text,label
This is SO De Palma .,3
Who is this movie for ?,3
In an ART FILM !,4
I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,5
The fourth in a series that I 'll bet most parents had thought -- hoped !,3
"It 's hard to imagine anyone managing to steal a movie not only from charismatic rising star Jake Gyllenhaal but also from accomplished Oscar winners Susan Sarandon , Dustin Hoffman and Holly Hunter , yet newcomer Ellen Pompeo pulls off the feat with aplomb .",5
It all looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer .,2
"It would be disingenuous to call Reno a great film , but you can say that about most of the flicks moving in and out of the multiplex .",3
"No one involved , save Dash , shows the slightest aptitude for acting , and the script , credited to director Abdul Malik Abbott and Ernest ` Tron ' Anderson , seems entirely improvised .",1
"This kind of hands-on storytelling is ultimately what makes Shanghai Ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",4
"Drawing on an irresistible , languid romanticism , Byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",5
Bravado Kathy !,4
Or else a doggie winks .,3
A tasty masala .,4
Interesting and thoroughly unfaithful version of Carmen,4
"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .",4
What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,3
You have enough finely tuned acting to compensate for the movie 's failings .,3
"With not a lot of help from the screenplay ( proficient , but singularly cursory ) , ( Testud ) acts with the feral intensity of the young Bette Davis .",3
"In other words , it 's badder than bad .",1
Guys say mean things and shoot a lot of bullets .,2
A little objectivity could have gone a long way .,3
( It ) has the feel of a summer popcorn movie .,3
It 's a solid movie about people whose lives are anything but .,4
"Nicole Kidman evolved from star to superstar some time over the past year , which means that Birthday Girl is the kind of quirkily appealing minor movie she might not make for a while .",4
"is now stretched to barely feature length , with a little more attention paid to the animation .",3
"When it comes out on video , then it 's the perfect cure for insomnia .",1
The film is so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film .,2
This often-hilarious farce manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal .,5
10 minutes into the film you 'll be white-knuckled and unable to look away .,5
Maintains your interest until the end and even leaves you with a few lingering animated thoughts .,4
"If the predictability of bland comfort food appeals to you , then the film is a pleasant enough dish .",2
( Westbrook ) makes a wonderful subject for the camera .,5
"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",3
"Perfectly pitched between comedy and tragedy , hope and despair , About Schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .",5
"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",2
"Entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .",4
It 's technically sumptuous but also almost wildly alive .,5
Godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... In Praise of Love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating .,1
For single digits kidlets Stuart Little 2 is still a no brainer .,3
", is a temporal inquiry that shoulders its philosophical burden lightly .",4
"But when it does , you 're entirely unprepared .",3
"Just when you think you are making sense of it , something happens that tells you there is no sense .",2
"What we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .",1
`` ... something appears to have been lost in the translation this time .,1
"You 'll forget about it by Monday , though , and if they 're old enough to have developed some taste , so will your kids .",1
"Less cinematically powerful than quietly and deeply moving , which is powerful in itself .",3
The movie is obviously a labour of love so Howard appears to have had free rein to be as pretentious as he wanted .,3
"Any film that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss .",2
"Since Dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche .",2
Why anyone who is not a character in this movie should care is beyond me .,1
A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5
"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",4
"the film belongs to the marvelous Verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",4
"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",5
"Few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying .",4
"Mild , meandering teen flick .",3
"Pete 's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish .",5
"From a deceptively simple premise , this deeply moving French drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .",5
Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,4
