,text,label
0,"Vividly demonstrates that the director of such Hollywood blockbusters as Patriot Games can still turn out a small , personal film with an emotional wallop .",5
1,"Murder by Numbers ' is n't a great movie , but it 's a perfectly acceptable widget .",3
2,Watching Spirited Away is like watching an Eastern imagination explode .,3
3,"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .",1
4,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,1
5,`` The Adventures of Pluto Nash '' is a big time stinker .,1
6,... a true delight .,5
7,"An inconsequential , barely there bit of piffle .",2
8,"A fine production with splendid singing by Angela Gheorghiu , Ruggero Raimondi , and Roberto Alagna .",5
9,10 minutes into the film you 'll be white-knuckled and unable to look away .,5
10,"Muddled , melodramatic paranormal romance is an all-time low for Kevin Costner .",1
11,It 's not original enough .,2
12,"Streamlined to a tight , brisk 85-minute screwball thriller , `` Big Trouble '' is funny , harmless and as substantial as a tub of popcorn with extra butter .",3
13,"An authentically vague , but ultimately purposeless , study in total pandemonium .",2
14,"If you 're looking for a smart , nuanced look at de Sade and what might have happened at Picpus , Sade is your film .",4
15,"Plodding , peevish and gimmicky .",2
16,Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,1
17,"There 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present .",1
18,The Sweetest Thing leaves an awful sour taste .,2
19,Everything that was right about Blade is wrong in its sequel .,2
20,"A lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .",2
21,"At its best when the guarded , resentful Betty and the manipulative yet needy Margot are front and center .",3
22,Canadian filmmaker Gary Burns ' inventive and mordantly humorous take on the soullessness of work in the city .,5
23,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",2
24,He gets his secretary to fax it . '',3
25,"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",3
26,... little more than a well-acted television melodrama shot for the big screen .,3
27,Looks more like a travel-agency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independent-community guiding lights .,1
28,"A comedy that is warm , inviting , and surprising .",5
29,"Goldmember has none of the visual wit of the previous pictures , and it looks as though Jay Roach directed the film from the back of a taxicab .",1
30,"The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows .",2
31,Chai 's structure and pacing are disconcertingly slack .,2
32,"Even on its own ludicrous terms , The Sum of All Fears generates little narrative momentum , and invites unflattering comparisons to other installments in the Ryan series .",1
33,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5
34,Why ?,2
35,"Filmmakers David Weissman and Bill Weber benefit enormously from the Cockettes ' camera craziness -- not only did they film performances , but they did the same at home .",4
36,"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",3
37,It 's hard to imagine another director ever making his wife look so bad in a major movie .,1
38,"Rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",4
39,`` Me Without You '' is a probing examination of a female friendship set against a few dynamic decades .,3
40,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",4
41,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",3
42,"The jokes are flat , and the action looks fake .",1
43,"Just when you think you are making sense of it , something happens that tells you there is no sense .",2
44,`` Nicholas Nickleby '' is a perfect family film to take everyone to since there 's no new `` A Christmas Carol '' out in the theaters this year .,4
45,"You 've already seen City by the Sea under a variety of titles , but it 's worth yet another visit .",4
46,"Typical animé , with cheapo animation ( like Saturday morning TV in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and Japanese names .",2
47,"Ultimately the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of Martha Stewart decorating program run amok .",1
48,It 's a drag how Nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,1
49,Constantly slips from the grasp of its maker .,1
50,Nair does n't treat the issues lightly .,4
51,"The movie turns out to be ( Assayas ' ) homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",2
52,"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you .",3
53,It 's about time .,3
54,"As an actress , Madonna is one helluva singer .",5
55,Martyr gets royally screwed and comes back for more .,3
56,"If you do n't laugh , flee .",3
57,A cockeyed shot all the way .,2
58,Show me the mugging .,3
59,Amazingly dopey .,4
