,text,label
0,thing stable lunar orbit right new stuff means put sattellite around around moon long orbit unstable reason combined gravitacional atraction sunmoon earth provide stable orbit around moon claudio oliveira egalon,sci.space
1,im looking good terminal program connect tcpip using windows basic mswindow connect unix host would great suggestions thanks peter kocks,comp.os.ms-windows.misc
2,article edward ted fischer writes oops came across file last year thought might enjoy thoughts predictions made date indicated largely order much crap deleted managers fired year chronological order fregosi showalter valentine riddoch three went right showalter still around likely stick seems dead wrong last time checked jim fregosi still managing phillies quite fine job thank youbest record baseball prediction jim fregosi win manager year nl dont flame meflame bum thinks got fired last year pay attention kiddo,rec.sport.baseball
3,hi folks dont know whether right newsgroup question completely wrong group could mail right name correct newsgroup friend mine studying electronics technical university karlsruhegermany since one year wants know whether possibilities study audio control engineering usa anybody know get information studies usa could send information like emailadresses universities quality studies possible email universities directly get information universities send information via email please could answer via email dont read newsgroup regularly thanks advance stephan jaeger space rent contact stephan jaeger rheinstr karlsruhe,sci.electronics
4,ive got dx mb im using windows sometimes wondered windows worked endlessly hd nothing execpt lunch something like turned virtual memory swapfile windows became quite faster less memory free im still wondering windows reading everything virtual memory convertional sufficient commonsenseexplanation really appreciated,comp.sys.ibm.pc.hardware
5,article ray ingles writes evidence resurrection often claimed disciples tortured death beliefs still renounce claim jesus come back dead skimmed acts found reference happening stephen others apparently widely held belief come evidence outside bible evidence bible sure havent found early authors legends important sources found martyriologia catholic church makes grimms look like exact science benedikt,alt.atheism
6,hi looking new oscilloscope bk b looks like goldstar os find one cheap enough would like suggestions lowpriced source currently btw frys electronics los angeles b best price ive seen overall carry gs os need mhz bw thanks joseph chiu os gotta get thing msc caltech pasadena ca happiness suspending xwings make appointment calendar entry send fax resuming game,sci.electronics
7,toyota supra fully loaded automatic maroon color leather interior alpine stereo system cd changer alpine car alarm miles great condition one owner leave country june asking obo please call ask cary bernard lin departmental research assistant computing information services columbia business school,misc.forsale
8,article edward ted fischer writes article mark singer writes sigh go actually several scdns stated definable skills would make hitter likely perform better clutch situations vs nonclutch situations however one might choose define clutch right define skill must say batting average predictor used judge two hitters likely get hit particular plate appearance valid define skill hitting baseball thats ive said except used smaller sample batting average clutch situations elsewhere thread sherri nichols repeats position batting average clutch situations meaningless statistic predicting future entirely meaningless least meaning dont know find say could predict future ive suggested statistic necessarily meaningless heres data situation nonclutch clutch ab h ba ab h ba sabo samuel reds manager time assume would basis letting sabo hit rather pinch hitting samuel im sure basis would utilized prior performance wouldnt used particular aspect prior performance correct ill try avoid insulting difficult cavalierly dismiss hundreds hours work dont pretend understand nobody denying people hit well clutch past challenge find method predict hit well clutch future claiming since one time claim able predict future said accept data indication samuel would better chance success situation sabo dismissing work im stating opinion saying work renders opinion contrary invalid retention opinion kind insult work fine plenty data obviously preconceived biases must coloring work since know clutch hitting welldefined consistent skill failures notwithstanding challenge prove guarantee prove existance form clutch ability plenty happy sdcns dancing around say clutchhitting well defined said data significant say consistent skill said indicator performance certain set circumstances arent going win support merely stating position claiming stupid must right big sigh ever called anyone else rsb stupid nice however see consider possibility actually could preconceived biases yeah hindsight always doesnt make bright stupid argument know ah knew could get name calling theres word like much suggestion take data attempt come method predicts hit well clutch works attempt apply beyond wait minute thought first define clutch hitting dont made strong statements back proven total idiot made two statements post convinced conclusions regarding clutch hitting would hit sabo many us make number written statements media think happen baseball im shy ill make statement believe seasons end chris sabos batting average clutch situations significantly lower batting average nonclutch situations cant prove happen guess well wait see heres another one joe carters batting average clutch situations significantly batting average nonclutch situations year presume think random nonclutch ab h clutch ab h could expect mr carter well composite ba think pretty good idea kind batting average produce hit surprising huh also nonclutch ab h clutch ab h doesnt prove overall statistical trend used predict future performance across breadth major league ballplayers makes think joe carters batting average clutch going high ba nonclutch situations plenty company john dewan statsinc editor scouting report wherein statistics regarding clutch hitting compiled reported referenced text bill james makes numerous references players ability hit well clutch saying predict future others saying work renders statements mine meaningless dont accept words proves total idiot stupid total idiot hostility beastmaster mark singer,rec.sport.baseball
9,panasonic kxp pin dot matrix printer cps dot diameter character lcd super quiet mode draft letter quality super letter quality fonts rear bottom front top paper feeding friction tractor color compatible needs optional color kit includes windows panasonic printer drivers disk bought jan used little still original ribbon cartridge nice printer brand new conditio dont use often enough need money ill take hans meyer,misc.forsale
10,article dania egedi writes article andy freeman writes article kevin geraghty writes wrong whole gunsforprotection mindset ignores youre threat youre affected aha thats part makes nervous gets decide threat based appearance would someone feel threatened actions determine whether someone presents threat dont carry gun much people cause tend fade due several encounters formerly domestic dogs critters aint scared folks get aggressive staying saw someone sitting cleaning gun softly backed away hiked another miles get ill freely admit im afraid guns im afraid people bring backcountry id count fear guns somebody sense keep weapons maintained isnt likely present threat army taught clean weapons daily since usually need regardless whether theyve used youd amazed sweaty holster get much trail dust get guess youd scared former explorer post seems advisors national guard special forces grunts considered heresy woods without weapon course usually wouldnt notice em tended avoid public scrutiny course may way solve solitude problem carry gun display prominently one probably wont see hikers hiding woods dania mm goes hip holster mixed magazine pouches hold lotsa stuff canteens knives compasses easy notice chance decide visible prefer since walking quietly away active areas increases number nonhuman type critters see james james cochrane danger doubt run space circles scream shout rent,talk.politics.guns
11,hi everyone would like get example programsource code get started simple editor similar windows dialog editor lot simplified someone point source programming windows book example program comes windows sdk microsoft borland would greatly appreciate want able place edit control combobox listbox window able drag resize anyone written similar program dont mind sharing code ideas would appreciate much thnx advance manu das please send directly,comp.os.ms-windows.misc
12,im interested obtaining highest possible image capture mswindows application resulting image must go print high resolution name game im familiar unhappy composite video capture technology kind resolution get svhs signal rgb makes rgb cameras anyone experience digital cameras help would greatly appreciated william brandsdorfer uucp uunetlehmancomwbrand lehman brothers inet greenwich st voice new york ny,comp.graphics
