,text,label
0,Annan asks China to play a bigger role UN Secretary-General Kofi Annan told university students in Beijing Monday that China should play a bigger role in global development and world peace.,World
1,"Explosion Rocks Baghdad Neighborhood BAGHDAD, Iraq, August 24 -- A car bomb exploded near the gate of a US-funded Iraqi television network in Baghdad on Tuesday, killing at least two people and wounding two others, authorities and witnesses said.",World
2,Red Cross deeply concerned by humanitarian law violations in Iraq The International Red Cross is  quot;deeply concerned quot; at the impact of the fighting in Iraq and the apparent failures by all sides to respect humanitarian laws.,World
3,"'Final Call' for Rebel Iraqi Cleric Shiite Muslim cleric Moqtada Sadr rejected one of the government's two key demands, increasing the prospect of an intensified military attack against his militia.",World
4,"Ukraine opposition rally draws hundreds of thousands (AFP) AFP - Tens of thousands of supporters of opposition presidential candidate Viktor Yushchenko took to the streets of Kiev, a week before the poll, to demand free and fair elections in this former Soviet state after a tense campaign marred by incidents.",World
5,"Tibetans Say Dalai Lama May Not Return in This Life (Reuters) Reuters - It is 45 years since Tibet's\god-king, the Dalai Lama, fled his homeland on horseback as\Chinese shells rained down on his capital. Many Tibetans do not\expect to see him again, or not in his current incarnation.",World
6,Sept. 11 DVDs Present Nation in Mourning LOS ANGELES - One film provides a positive message of unity. Another dramatizes the president's difficult days...,World
7,"Badgers ready for conference battle with Spartans Madison, WI (U-WIRE) -- After a convincing home victory over Minnesota last week, No. 4 Wisconsin (9-0, 6-0) launches the final leg of its 2004 campaign on the road against Michigan State (3-3, 4-5).",Sports
8,Australian Football: Melbourne sidelined as Brisbane and Port &lt;b&gt;...&lt;/b&gt; The Australian Football League Grand Final between Brisbane Lions and Port Adelaide on Saturday marks an epoch for Australia #39;s favorite spectator sport.,Sports
9,Charlotte Bobcats Pick Up Option on Ely (AP) AP - The Charlotte Bobcats picked up the option on center Melvin Ely for the 2005-06 season.,Sports
10,Brooks Returns Star sophomore linebacker Ahmad Brooks is back with the first string after a curious demotion prior to the season-opening win over Temple last Saturday.,Sports
11,"Sharapova Tops Venus in Swisscom Challenge (AP) AP - Wimbledon champion Maria Sharapova needed just more than an hour to defeat Venus Williams 6-3, 6-4 in the quarterfinals of the Swisscom Challenge on Friday.",Sports
