text,label
Just wondering how they did it visually with all the fireworks going on,excitement
"This is the sort of chucklefuck who finds himself saying ""and there was nothing I could do"" after a mishap... often.",realization
">I have, on multiple occasions, enjoyed sipping on my flask of scotch at Bowness ",excitement
"Sorry, sometimes I really can't tell in here. ",remorse
"Oops, forgot to translate from UK lingo ",embarrassment
I usually find it is something like a balloon and wait for them to have saved more often lol.,neutral
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion
This physically hurt me,disappointment
"It’s all the anger, it ages her terribly ",anger
their is a differences between losing and being embarrassed,embarrassment
One of my 56 favourites,approval
I think the [NAME] biscuit joke takes the cake,amusement
#Garbage site for assholes,annoyance
I hope you and your retarded phone have a nice day!,optimism
"...it was a corgi, and that dog looked happy as hell.",joy
"Oh no, not what I meant at all! Sorry for the confusion :O",confusion
I wish I could forget about the redesign. Sadly reddit is adamant about reminding me all the time it exists.,desire
I still miss the north hills bottom dollar :(,sadness
What’s the most amount of goals that have been scored total between both teams at the rock?,curiosity
"in a free society you'd never know if a woman had an abortion, so there's that.",approval
Fair enough. I'm probably thinking of someone who still has some semblance of shame.,desire
Probably. Government contracts are already terrible as they rarely pay on time,fear
"Hey. As long as the person I help is better off than when I first saw them, I’m happy.",joy
Surprised there isn’t more of this lol,surprise
I'm great. I am having pho for lunch.,admiration
Thank you. I guess im just finding it weird how she lost interest. Ill definitely be taking your advice,gratitude
The Citadel has given us much to be thankful for.,gratitude
I regret this post so hard so much debate and anger lol,anger
1.0mg is a high dose. My husband is an insomniac and can't take that dose without nightmares.,caring
Ah [NAME] I love this post!,love
The fact that this hasn’t happened to [NAME] yet in this day and age is simply incredible.,admiration
I feel like this anime will make me cry in the end. Damn even its opening is full of drama. Am I correct in this?,sadness
Nah I didn’t get scammed but my money is sitting in the Dream Market escrow doohickey. Whatever that means! Haha!,disapproval
"He is good! Funny thing is, a lot of the religious dogmatics in his videos remind me of certain IT posters.",amusement
Ultra Despair Girls 2 >!We get Monaca back from space.!<,neutral
"A million little things. I love it, but cheating arc within first couple episodes. ",love
That's disgusting. Apt.,disgust
Id rather do the highlights again just not a full match.,realization
You have to assert dominance or they'll never learn.,caring
Out of all the seasons I definitely feel the worst for her,disgust
I’ve got bad news for you about NFL locker rooms if you’re offended by homophobic slurs....,disappointment
Wow I never noticed that either before you pointed it out,surprise
"I mean, okay...I don't support those so-called ""religious liberty"" laws, soo...there's that.",disapproval
"Fuck that, he can go to Cleveland with [NAME] on that bullshit.",annoyance
Lmao I'm sorry!,remorse
Wheres the telescope?,curiosity
Probably scared they’re gonna get flashed by a camera.,fear
"For what it's worth, I hope you have a great year anyway.",optimism
