text,label
One of the most important and exhilarating forms of animated filmmaking since old Walt doodled Steamboat Willie .,5
"As Allen 's execution date closes in , the documentary gives an especially poignant portrait of her friendship with the never flagging legal investigator David Presson .",3
"It 's an effort to watch this movie , but it eventually pays off and is effective if you stick with it .",4
"At once emotional and richly analytical , the Cosby-Seinfeld encounter alone confirms the serious weight behind this superficially loose , larky documentary .",3
McTiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious .,2
"The movie turns out to be ( Assayas ' ) homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",2
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5
Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .,5
"If you do n't laugh , flee .",3
A full-frontal attack on audience patience .,1
"This is surely one of the most frantic , virulent and foul-natured Christmas season pics ever delivered by a Hollywood studio .",1
Real Women Have Curves does n't offer any easy answers .,3
"Before long , you 're desperate for the evening to end .",1
` Hey Arnold ! ',3
The only thing I laughed at were the people who paid to see it .,2
"After seeing ` Analyze That , ' I feel better already .",4
Thumbs down .,1
`` ... something appears to have been lost in the translation this time .,1
"It 's a rollicking adventure for you and all your mateys , regardless of their ages .",5
"Like life on the island , the movie grows boring despite the scenery .",1
"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",4
Delight your senses and crash this wedding !,5
"Ice Age wo n't drop your jaw , but it will warm your heart , and I 'm giving it a strong thumbs up .",4
An effortlessly accomplished and richly resonant work .,5
"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",4
"A sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",2
The Pool drowned me in boredom .,2
"... has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .",3
"Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .",4
"Certainly not a good movie , but it was n't horrible either .",2
