,text,label
0,"Oh no, not what I meant at all! Sorry for the confusion :O",confusion
1,"ah, thanks!",gratitude
2,I want this cat,desire
3,"Oh no, the horror. Look, a pause! Let's start CPR! Those nurses, probably",fear
4,Excellent analysis!,admiration
5,"The last thing I want on my team are former Eagles players. Fuck that team, the organization, and the shitty fanbase ",anger
6,Just like an unwritten rule to discuss a perfect game during a perfect game. Interesting,admiration
7,I'm hoping he's just gonna psyche people out like [NAME] did with [NAME].,optimism
8,I was really hoping this was real like,optimism
9,link to the crack tweet?,confusion
10,Welcome to the new normal.,optimism
11,No clue I’m doing some digging if you find it before me please comment,confusion
12,"This is the kind of relationship i want to have,a warm soothing one.... ",desire
13,Self serving cowards.,annoyance
14,"I’m sorry you are feeling so down friend, that is really difficult. I hope find a way to feel better.. maybe go to emergency care...",caring
15,"Sorry, sometimes I really can't tell in here. ",remorse
16,Do you mean artists?,curiosity
17,How else can you boil water in prison,confusion
18,Wait...does that mean they acknowledge the 100 million figure? 👀,curiosity
19,Did he actually have anything planned or...,confusion
20,I’ve got bad news for you about NFL locker rooms if you’re offended by homophobic slurs....,disappointment
21,Even if she was 25 this would have been weird and creepy af.,embarrassment
22,Considering I only play in a 4 man group across most games. I'm good thanks.,gratitude
23,"Miami is supposed to have beautiful people, but these camera shots of the crowd sure as hell aren't showing them.",disappointment
24,"I never watched any [NAME] films, so. That. ",disapproval
25,"[NAME], too. [NAME] is very guilty of this.",remorse
26,So sorry that was his response. I hope you're able to get free soon so that you can begin to heal and move on.,remorse
27,"Yep, sure is. Have things gotten better for you, though?",caring
28,OH MY GOD OH MY GOD CONGRATS!!!!,excitement
29,Let’s try and convert this home momentum to some road success!,neutral
30,Omg! I'm just about to post a recipe with turmeric because I ALSO FEEL THAT WAY.,excitement
31,"What, again? This stupid country!",anger
32,It's nice for him to take time out of getting angry at people to lecture everyone.,annoyance
33,The dense stuff isn't very accessible. :/,disapproval
34,It’s not so much that I enjoy money and more that I do enjoy scamming people.,joy
35,"Thanks man, words give me strength",gratitude
36,It is a fictional llama...how much PC do we actually need?,curiosity
37,Heaven forbid you do some actual research.,annoyance
38,I stuck a bit of glass up there. It was a pane in the ass.,remorse
39,hope [NAME] is injured while allstar week yes im a spiteful ngga,optimism
40,I usually find it is something like a balloon and wait for them to have saved more often lol.,neutral
41,Yes. But it’s still KFC so there’s a long way to go.,realization
42,y meme when the news memes for u?,confusion
43,Eh so much easier to drug her and do what he wants.,neutral
44,worst is when people with dogs think they know what it's like to be a parent omg like you dont even know YOU DONT EVEN KNOW,disgust
45,"Ooohhh shit, they did *not* just say men should be decent human beings, they've finally taken it too far! Gather the troops! /s",disapproval
46,No longer in LA but I really hope he can get reelected!,optimism
47,Do your own research. It’s not my job to educate you.,annoyance
48,"No one is stopping you. I will laugh at you, but go ahead. ",amusement
49,Why do y'all gotta be mean like this. They're clearly comfortable with themselves,approval
50,9 to 4. That's pretty sorry.,remorse
