text,label
It could be how depression is effecting you but i don't think it's crazy,caring
"The menzingers are sick, good luck out there bud",disgust
I will pray that she (or whoever may be pressuring her into making this decision) will have a change of heart and spare the baby's life.,desire
"In such a situation, I would save the mother. Always.",caring
I would think that would be pretty awkward having phone sex with a stranger,embarrassment
Hope [NAME] is ok to play but if he needs to rest that hand then that's what he should do...,optimism
Even for an infidelity sub this is heavy. I hope you find peace somehow.,optimism
Politics should not be a religion.,approval
I have a lot of unopened DM’s but thanks,gratitude
[NAME] damn you are autistic,annoyance
Please kind sir may I have some more,desire
Nobody is shaming them for trying to stop article 13. Youtube is being shamed for being hypocrites.,embarrassment
"Somebody should make this a smaller video to share it around, this poor kid is going through a lot.",sadness
"Praying for you to find peace soon, man. ",caring
The poor dude.....pray for him.,caring
It feels to me like your Dean has some baggage and you shouldn't let it weigh you down.,caring
Notice how there are no chapotraphouse trolls here because they know you're right and can't put up any argument against you.,approval
"And it should be drenched in blood. It’s supposed to be scary, that’s how you know [NAME] loves you!",realization
Grandmas knees are burning up,sadness
Yes. But it’s still KFC so there’s a long way to go.,realization
"He’s a coward, but no need to ruin his life. You should feel sorry for him. ",caring
Tell them personally how you feel and that you want things to change for better,desire
Mmm ... Chicken milk.,excitement
So sorry that was his response. I hope you're able to get free soon so that you can begin to heal and move on.,remorse
Play something else and come back later. You’re burning yourself out,caring
Make sure you get that on video for the lawsuit. Hope she’s ok...,optimism
"I don’t like [NAME] all that much, but that dude seems cool. I hope it hits a goofy dark line like [NAME] or [NAME] tho.",desire
It's hard to start over. I wish you happiness.,desire
I’ll just take this as an apology and bid you farewell AM x,remorse
Don't forget the awkward tomboys.,disgust
This is the only thing I care about from this entire season so far.,caring
I would prefer to not observe it all but federal law does not allow it.,disapproval
I'm sorry for what happened to you. I guess you were sending mixed signals all the time.,remorse
"Also technically wrong, it would be last year but not a year ago.",disapproval
*me trying to get it* OH!!!!!!!!!!,annoyance
"Sorry, girl. You deserve better.",realization
I think the popularity of Alliance confirms my point about radical centrism on here,neutral
"Disturbing =/= awful. Its incredibly well done by a professional. I feel like this sub is more for unintentional awfulness, not purposeful shock value/ theatrical makeup.",disgust
"I used to work nights at a 24-hour Walmart, “interesting” is a damn tame word for it.",excitement
"I like Sao very much, bit not because of the game setting, for other reasons. The game itself sucks, tbh.",love
... and no one seemed to care Except that lonely woman with white hair,sadness
I don't know if I'm comfortable with a religion that approves of human sacrifice tbh,confusion
"I’m sorry you’re going through the hurt, this shit sucks so bad.. I don’t wish this upon anyone..",remorse
He’s bad,disgust
"[NAME]. When my ex and I discussed baby names, I feel in love with this combo",love
"To be fair, it is worse than staying in the EU, but good grief it's better than a no deal.",disgust
I can’t imagine being this retired,disappointment
I took swimming lessons for a while and my fingerprint thing didn't work for months,disappointment
"Partial reopening within the next two weeks for services to the [NAME], but unfortunately for some a lot of the government is never coming back from this.",disappointment
"Definitely valid in my case. But let's remember our friends who have had or are currently having a rough time when it comes to family life, as well.",caring
Most people who call themselves anarchists are against the free market because they don't understand it.,confusion
Yeah who knows how many indictments [NAME] is gonna rack up retroactively? It could be hundreds! /s,confusion
Id rather do the highlights again just not a full match.,realization
"I am with you. Despite leaving stuff at his place, i am slow but surely done.",caring
Hopefully they realize that anti-discrimination law is immoral and unconstitutional.,optimism
It's a close one. I'm going to agree with you because look what happens when [NAME] goes down.,approval
Damn this is experience talking.,disappointment
the older me would be scared shirtless knowing all the fireworks that exploded nearly in my hand as a kid,fear
Damn... METOO,annoyance
"I‘m sorry this guy is harassing you, check his history, he‘s trolling.",remorse
"She's a nutjob, but this is a really good quote, lol. ",amusement
[NAME] pretty famous for that. I love the show but there is an entire episode that is blatant anti-nuclear energy fear mongering.,love
spermatozoid is wrong someone with 31Q would have bigger problems than knowing how to write sperm Did you meanS this is beatiful,confusion
"That was a hell of a tip, that happens",anger
[NAME] sorry it was rude not to @ you lol,remorse
Do you need someone to talk to [NAME]? Your comment history is pretty disconcerting.,caring
Stop whatever you think is pushing you away. You are the one in control not [NAME].,caring
"That sounds like it was an absolute nightmare, I'm sorry you had to go through that, anesthetic failing is a horrifying experience. ",fear
it’s starting to get weird,embarrassment
Not guarantee. Only increased risk with time.,disapproval
>We must invade Brazil to protect the Amazon rainforest from the fascist [NAME] Retards on r/worldnews,caring
"If you really think that pro-lifers think sperm are ""potential children"" you severely misunderstand their worldview.",confusion
I’m crying omfg,sadness
"Lucky the patient passed out, they wont feel any of it or hear anything you're saying!",approval
"Oh, the horror! We must defend the honor of Lord [NAME] against the scum of r/NFL!!",fear
Yeah [NAME] is a pretty weird guy.,approval
Best of luck,caring
I thought I was the only woman who felt this way. I'm glad I'm not alone.,gratitude
The whole post reeks of troll.,disgust
That ice is dangerously thin for such a hot take.,fear
too much internet,excitement
I kind of want this win for [NAME] but I still hope we lose out hereafter,optimism
"The true perk is ""knowing all the good local spots""",approval
Thank you. I guess im just finding it weird how she lost interest. Ill definitely be taking your advice,gratitude
She might be a [NAME] but she ain't my Waifu ARTEMIS FOREVER SUCKERS,neutral
"*concussion* *Trophy system kills it* *Another concussion* *Trophy system kills it* ""Yo guys watch me throw this cluster"" Honestly embarrassing ",embarrassment
"As someone who live less than a hour where she’s from, it’s definitely fabricated/exaggerated.",approval
I don’t think we want some sort of incest plot arising here,disapproval
I'm sorry to tell you this but your mate probably touches children too. That's the only logical conclusion I can come to here.,remorse
Gift from [NAME],gratitude
I'm not trolling. This push for pro vaccines just seems strange.,curiosity
"It's an unfortunate situation, but it had to be done at some point.",optimism
I literally have more friends on HOTS than WOW. Wow is deader than hots.,excitement
I would like to see the after justice of idiots like this,anger
He’s not a young offensive mind and that offends people.,disapproval
Day 7 is tough... Not as tough as day 15 but tough,disappointment
