text,label
"Court Documents Not Fit for Web? States are rethinking their policy of publishing all court documents -- divorces, medical histories, arrests -- on the web. On one hand is the citizens' right to know how their government operates. On the other is their right to privacy. By Jacob Ogles.",Sci/Tech
"Divers find gash in hull of oil tanker A 6-foot gash has been discovered in the hull of a tanker that leaked 30,000 gallons of crude oil into the Delaware River Friday night, officials said yesterday.",Sports
"Arthritis drug a heart attack risk, study finds United States drug giant Pfizer says a trial has found a sharp rise in heart attacks for patients using its blockbuster Celebrex arthritis and pain medicine.",Business
Viewpoint Search Tool and Avon Team to Battle Breast Cancer Viewpoint Search Tool and Avon Team to Battle Breast Cancer\\Graphical search engine toolbar Viewpoint is working with the Avon Foundation to create and distribute a custom search toolbar that promotes the Avon Foundation Breast Cancer Crusade. The program will give the Foundation access to a new source of funding as ...,Sci/Tech
"iTunes now accepting Paypal payment Today, both Apple and Paypal have announced that the iTunes music store in the US will now accept Paypal purchases for anything on iTunes.",Sci/Tech
"Sun Microsystems Sets Sights on Low-End Market By MATTHEW FORDAHL    SAN JOSE, Calif. (AP) -- After years of battling Microsoft Corp...",Sci/Tech
"To tithe, make it first item in budget WASHINGTON -- Why is the subject of giving such a difficult thing to discuss? Some folks would rather ask someone for a kidney than for a donation to a charitable cause.",Business
"House takes aim at identity thieves Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.",Sci/Tech
Mystery Bidder Obtains Internet Patents A lawyer for an anonymous bidder acquired a set of patents covering important aspects of commercial Internet transactions for \$15.5 million.,Sci/Tech
"Movie studios sue US, European file-sharing  #39;parasites #39; LOS ANGELES - Movie studios have expanded their fight against illegal downloading, suing more than 100 US and European-based computer services that transmit movie files across Internet file-sharing networks.",Sci/Tech
"Vodafone Peddles New BlackBerry Research In Motion #39;s BlackBerry 7100v, which sports the company #39;s latest keyboard technology, is being offered exclusively through Vodafone.",Sci/Tech
Russian beer advertisements canned Putin signs law restricting airtime and content in effort to curb his country #39;s alcohol intake. MOSCOW (Reuters) - A sweeping ban on beer advertising in Russia became law Tuesday in a move to curb the country #39;s ,Business
"Movie Studios to Sue Internet File Traders Taking a cue from the music industry, film studios and the Motion Picture Association of America said on Thursday that they were readying the first lawsuits against people ",Sci/Tech
Ecclestone shrugs off challenge London - Formula One supremo Bernie Ecclestone has shrugged off a High Court ruling that challenged the businessman #39;s control of the firm behind Grand Prix racing.,Sports
"EU accuses Microsoft of paternalistic view : Microsoft Corp. today said that small companies and their customers would suffer most if it is forced to remove its digital media software from Windows, while the European Union accused ",Business
"Group: Red Sea Pollution Hurts Coral Reef (AP) AP - A panel of experts from Israel and abroad on Sunday urged the government to immediately halt fish farming in Israel's Red Sea coastal waters, saying pollution from operation is killing a unique coral reef.",Sci/Tech
"AOL Files First Spim Lawsuit Iphtashu Fitz writes  quot;CNet News is reporting that 4 major internet providers - AOL, Earthlink, Microsoft, and Yahoo, have filed another bunch of lawsuits against spammers.",Sci/Tech
Apple iTunes accepts PayPal Apple and PayPal announced on Friday that the US incarnation of the iTunes Music Store (ITMS) now accepts payment via PayPal #39;s Virtual Wallet.,Sci/Tech
"More PE Time May Fight Child Obesity Just an extra hour of exercise a week could significantly cut obesity among young overweight girls, according to a study that researchers say could lead to major changes in the way schools fight obesity.    The study - the largest look yet at obesity among young children - did not show the same results for boys, possibly because they generally get more exercise than girls...",World
Ex-NASA Worker Pleads Innocent of Fake Inspections A fired NASA safety inspector accused of falsifying space shuttle inspection reports pleaded not guilty to 166 criminal charges on Friday and a trial was tentatively set for Dec. 1.,Sci/Tech
"Fujitsu and Cisco Form Strategic Alliance Fujitsu Limited and Cisco Systems announced a strategic alliance focusing on routers and switches for the Japanese markets. Specifically, the companies agreed to jointly develop high-end routers and will collaborate ",Sci/Tech
"Favre's Mother Falls Ill on Book Tour (AP) AP - Brett Favre's mother was hospitalized Thursday with stomach pains, interrupting her book tour.",Sports
"The full horror of Ed Wood must be seen to be believed (USATODAY.com) USATODAY.com - Tim Burton's Ed Wood, which earned Martin Landau an Oscar for playing Bela Lugosi, is finally out an DVD today. But what about the real-life oeuvre of writer/director/auteur Edward D. Wood Jr. (1924-1978)?",Sci/Tech
