text,label
Who is the audience for Cletis Tout ?,3
than ` Magnifique ' .,3
Acting can not be acted .,3
In an ART FILM !,4
Or else a doggie winks .,3
Who is this movie for ?,3
Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?,5
"A cultural wildcard experience : wacky , different , unusual , even nutty .",5
"There 's some outrageously creative action in The Transporter ... ( b ) ut by the time Frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",2
To Blandly Go Where We Went 8 Movies Ago ...,2
Feels as if the inmates have actually taken over the asylum .,3
Martyr gets royally screwed and comes back for more .,3
That 's its first sign of trouble .,2
"( Carvey 's ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .",1
"To those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` Divine Secrets of the Ya-Ya Sisterhood , ' but that 's not saying much .",4
"As social exposé , Skins has its heart in the right place , but that 's not much to hang a soap opera on .",3
The catch is that they 're stuck with a script that prevents them from firing on all cylinders .,1
"Drawing on an irresistible , languid romanticism , Byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",5
"Analyze That regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",3
"The animation and game phenomenon that peaked about three years ago is actually dying a slow death , if the poor quality of Pokemon 4 Ever is any indication .",1
"Donovan ... squanders his main asset , Jackie Chan , and fumbles the vital action sequences .",2
The premise itself is just SOOOOO tired .,1
"An authentically vague , but ultimately purposeless , study in total pandemonium .",2
The acting is n't much better .,1
( Allen ) manages to breathe life into this somewhat tired premise .,4
Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,1
Visually captivating .,5
"This is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but Ayres makes the right choices at every turn .",4
Majidi 's direction has never been smoother or more confident .,5
The closest thing to the experience of space travel,4
Disturbing .,2
You try to guess the order in which the kids in the house will be gored .,2
The film can depress you about life itself .,2
Goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,3
A well-made but emotionally scattered film whose hero gives his heart only to the dog .,3
It 's hard to imagine another director ever making his wife look so bad in a major movie .,1
"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .",4
"Watching these two actors play against each other so intensely , but with restraint , is a treat .",4
How I Killed My Father is one of those art house films that makes you feel like you 're watching an iceberg melt -- only it never melts .,3
This is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .,2
McTiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious .,2
Together ( Time Out and Human Resources ) establish Mr. Cantet as France 's foremost cinematic poet of the workplace .,4
What is the filmmakers ' point ?,3
"Well , they 're ` they ' .",3
Cynics need not apply . ',3
"Each punch seen through prison bars , the fights become not so much a struggle of man vs. man as Brother-Man vs. The Man .",3
"The story that emerges has elements of romance , tragedy and even silent-movie comedy .",4
"You 've already seen City by the Sea under a variety of titles , but it 's worth yet another visit .",4
About as big a crowdpleaser as they possibly come .,5
"Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .",4
Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,1
"Eccentric enough to stave off doldrums , Caruso 's self-conscious debut is also eminently forgettable .",3
"Each scene drags , underscoring the obvious , and sentiment is slathered on top .",2
You have enough finely tuned acting to compensate for the movie 's failings .,3
"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",5
"If ever such a dependable concept was botched in execution , this is it .",1
"The movie 's captivating details are all in the performances , from Foreman 's barking-mad Taylor to Thewlis 's smoothly sinister Freddie and Bettany\/McDowell 's hard-eyed gangster .",5
The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,5
"Morvern Callar confirms Lynne Ramsay as an important , original talent in international cinema .",5
"A deftly entertaining film , smartly played and smartly directed .",5
