label,text,cluster
Business,"Exporters Lead Nikkei Up, Trade Slow The Nikkei average was up 0.37 percent in mid-morning trade on Thursday as a recovery in the dollar helped auto makers among other exporters, but trade was slow as investors waited for important Japanese economic data.",2
World,"Darfur Mediators Demand Respect of Cease-fire African Union mediators at peace talks for Sudan #39;s Darfur region say there has been an escalation of cease-fire violations during the past three months, and that these must stop before a comprehensive peace accord can be reached.",0
World,Cambodia rush to solve succession Cambodia races to pass laws to decide the sucession after King Sihanouk's abdication announcement.,0
Sports,"Anderson makes NHRA history with US Nationals win Greg Anderson has so dominated Pro Stock this season that his championship quest has evolved into a pursuit of NHRA history. By Bob Hesser, Racers Edge Photography.",1
Sports,Lehmann gives evidence at hearing into Hookes #39; death Darren Lehmann gave evidence Monday at the committal hearing of a man charged in the death of former international cricketer David Hookes.,1
Business,IBM Seeks Settlement of Pension Lawsuit A US District Court Judge ruled last year that Big Blue had violated age-discrimination laws by amending its pension plan in a way that would make older employees accrue retirement benefits at a lower rate than younger workers.,2
Sci/Tech,BBC wants help developing open source video codec &lt;strong&gt;LinuxWorld&lt;/strong&gt; Dirac attack,2
Sci/Tech,"Renewable energy may be offered by Empire Empire Electric #39;s 15,000 member-owners may be able to get all or part of their electricity from renewable sources starting in January.",2
World,Bremer Criticizes Lack of Troops in Iraq The U.S. official said Monday that the United States made two major mistakes: not deploying enough troops and then not containing the violence immediately after the ouster of Saddam Hussein.,0
Sports,Bertuzzi Pleads Not Guilty to Assault (AP) AP - Todd Bertuzzi of the Vancouver Canucks pleaded not guilty Thursday to an assault charge stemming from a hit on Steve Moore during a game that left the Colorado Avalanche forward with a broken neck.,3
Business,Twinkies maker in crisis There #39;s an old saying in the business world when a sale seems all but assured: It was as easy as selling Hostess Twinkies. That may no longer be true.,1
Business,"Mortgage Rates Hit 6-Month Low Freddie Mac said Thursday that 30-year mortgages have dropped to the lowest level since April 1, providing more of a boost to the housing industry.",2
Business,"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",2
Business,Taiwan Chip Giant Seeks Strong Partnerships The head of the world #39;s largest contract chip manufacturer said Thursday it will cost an estimated \$1 billion (euro 776 million) for his company to develop the latest chip production technology.,2
Business,Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,2
Business,"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",2
Business,"Officials Blame Contractors in Tunnel Leak The tunnel containing this city #39;s sunken highway - the crown jewel of the Big Dig, Boston #39;s mammoth \$14.6 billion highway project - is leaking because of improper construction ",1
Business,"Before the Bell: Krispy Kreme Down 11 Pct Shares of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) fell 11 percent before the bell on Monday after the struggling doughnut shop chain reported a quarterly net loss ",2
Sports,"Medical Examiner Finds No Injuries on Thanou-Source ATHENS (Reuters) - A medical examiner has found that Greek sprinter Katerina Thanou, who was in hospital with fellow athlete Costas Kenteris, had no injuries, a judicial source said on Tuesday. ",0
Business,Merck sets up Vioxx review committee BOSTON (CBS.MW) -- Merck  amp; Co. said late Tuesday that it is establishing a committee to review its handling of the controversial withdrawal of its popular painkiller Vioxx from the market.,2
Business,"Brown-Forman Earnings Jump 67 Percent Brown-Forman Corp. , which sells products ranging from Jack Daniels whiskey to Lenox china, on Thursday posted a better-than-expected 67 percent jump in earnings as aggressive marketing boosted sales of premium spirits and new wines.",2
World,"Indonesian former general heading for massive presidential &lt;b&gt;...&lt;/b&gt; In Indonesia, former general Susilo Bambang Yudhoyono is heading for a massive presidential election victory over incumbent Megawati Sukarnoputri.",1
Business,IBM Seeks Settlement of Pension Lawsuit A US District Court Judge ruled last year that Big Blue had violated age-discrimination laws by amending its pension plan in a way that would make older employees accrue retirement benefits at a lower rate than younger workers.,2
Business,"Oracle #39;s next fight seen at boardroom LOS ANGLES (CBS.MW) - Following its latest rejection, the next stage in Oracle Corp #39;s battle to buy PeopleSoft is set to begin in a courtroom on Wednesday.",2
Sci/Tech,Open Source Software Goes to Work Businesses don't have to dump Windows to test drive free or low-price applications whose use may improve the bottom line.,2
World,"Pakistan, India agree to reopen second rail link ISLAMABAD: Pakistan and India on Friday ended a two-day meeting on reviving Khokhrapar-Monabao rail link and agreed to take necessary steps for an early resumption of the train service.",0
World,"Suicide bomb blasts Green Zone A SUICIDE car bomb has ripped through a line of vehicles at a checkpoint outside the Green Zone today, killing 13 people as Iraq marked the first anniversary of Saddam Hussein #39;s capture.",0
Business,"Oil prices up on Yukos woes NEW YORK -- Oil prices broke above \$46 yesterday after Russian oil giant Yukos said it would cut some oil shipments to China, the first toll on exports from the company's financial turmoil.",2
Business,"Iraq to get \$436m emergency loan The International Monetary Fund (IMF) has approved an emergency loan of \$436m (232m) to Iraq, the first from an international organisation.",0
World,"Russian Government Approves Kyoto, Sends to Parliament (Reuters) Reuters - Russia's government approved the Kyoto\Protocol on Thursday and sent the climate change pact to the\State Duma, the lower house of parliament, for ratification.",0
Sci/Tech,"Veritas buys KVS, plugs archive hole Underlining the importance of message archiving software, Veritas Software Corp. has announced plans for a \$224 million cash acquisition of KVS Software Ltd.",2
Sports,Finland escapes with quarter-final win CBC SPORTS ONLINE - Mikko Eloranta #39;s goal late in the third period helped Finland prevent an embarrassing quarter-final loss to Germany in World Cup play in Helsinki on Monday.,3
Business,HHG gets out of red zone AMP spin-off HHG plc has produced a pound stg. 46 million (\$A117 million) profit for the six months to June 30 - a massive turnaround from the pound stg.,2
Business,"Mortgage Rates Hit 6-Month Low Freddie Mac said Thursday that 30-year mortgages have dropped to the lowest level since April 1, providing more of a boost to the housing industry.",2
Business,Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,2
Business,"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",2
Business,"Officials Blame Contractors in Tunnel Leak The tunnel containing this city #39;s sunken highway - the crown jewel of the Big Dig, Boston #39;s mammoth \$14.6 billion highway project - is leaking because of improper construction ",1
Business,"Before the Bell: Krispy Kreme Down 11 Pct Shares of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) fell 11 percent before the bell on Monday after the struggling doughnut shop chain reported a quarterly net loss ",2
Sports,"Medical Examiner Finds No Injuries on Thanou-Source ATHENS (Reuters) - A medical examiner has found that Greek sprinter Katerina Thanou, who was in hospital with fellow athlete Costas Kenteris, had no injuries, a judicial source said on Tuesday. ",0
Business,Merck sets up Vioxx review committee BOSTON (CBS.MW) -- Merck  amp; Co. said late Tuesday that it is establishing a committee to review its handling of the controversial withdrawal of its popular painkiller Vioxx from the market.,2
Business,"Online Search Universe Is Expanding To get an idea of how hot Web search is, go talk to Raul Valdes-Perez, a Carnegie Mellon University professor who is leading a search technology start-up called Vivisimo Inc.",2
Sports,"NCAA denies reinstatement request for Mike Williams The NCAA refused to reinstate Southern California All-American Mike Williams on Thursday, leaving the star receiver unable to rejoin the top-ranked Trojans after being shut out of the NFL draft by the courts.",3
Sports,"Badgers fans hyped about teams undefeated season Never in the University of Wisconsin football programs 115-year history have the Badgers been 10-0. That could happen today in East Lansing, Mich.",1
Business,"Rates on 30-Year, 15-Year Mortgages Dip Rates on 30-year and 15-year mortgages dipped this week, a development that should help keep the housing market humming. Rates on 30-year, fixed-rate mortgages averaged 5.74 percent for the week ending Nov.",2
Sports,"3rd career win all but clinches Cup contention FONTANA, CALIF. - Elliott Sadler raced to his second victory of the season Sunday night at California Speedway and all but wrapped up a spot in NASCAR #39;s new championship playoff.",3
Sports,"Women's Preview: Time for Some New Stars (AP) AP - No Diana Taurasi, no Alana Beard. Nicole Ohlde is gone and so is Nicole Powell. Lindsay Whalen and Kelly Mazzante? They've moved on, too. A class that might have been the best in women's basketball is no longer around. It's time for some new stars to emerge.",1
Sports,"Suzuki singles into history SEATTLE - Chasing a nearly forgotten ghost of the game, Ichiro Suzuki broke one of baseball #39;s oldest records Friday night, smoking a single up the middle for his 258th hit of the year and breaking George Sisler #39;s record for the most hits in a season ",3
Sports,Brazilian striker dies during Indian club match Brazilian striker Cristiano de Lima Jr died yesterday after collapsing on the field during a domestic club tournament in the southern Indian city of Bangalore.,1
Sci/Tech,"Another Yahoo to compete with Gmail Last summer, Yahoo! purchased e-mail company Oddpost and now it has acquired Bloomba which analysts compare to Microsoft #39;s Outlook e-mail program.",2
Sports,"Bengals finish strong BALTIMORE -- First, Carson Palmer tossed the ball all over the field during his finest day in the NFL.",3
Sports,"Before Rape Arrest, Bryant Expressed Fear to Police In his first comments to the police on the night he was accused of rape, the basketball star Kobe Bryant was scared about what happened and may have conceded lying to ",1
Business,"AT amp; Wireless unveils messaging-only handheld AT amp;T Wireless on Monday seemed to be trying to turn back the clock on cell phone design trends when it introduced the Ogo, a messaging-only handheld.",2
Sports,"Woe are the Red Sox? maybe next week And, so, pending World Series gaffes, please, what we know about the Boston Red Sox is that they are not, after all, immune to the Heimlich maneuver.",1
Business,"ING Names Business Units in Trade Woes ING Groep NV has disclosed new details of trading improprieties in its mutual funds and variable-insurance products, but research firm Morningstar Inc.",2
Business,Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,2
