text,label
"Simple , poignant and leavened with humor , it 's a film that affirms the nourishing aspects of love and companionship .",4
"an admirable , sometimes exceptional film",5
A surprisingly sweet and gentle comedy .,4
"All right , so it 's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast .",4
"Some are fascinating and others are not , and in the end , it is almost a good movie .",3
"A deftly entertaining film , smartly played and smartly directed .",5
"A thoroughly enjoyable , heartfelt coming-of-age comedy .",4
"The film aims to be funny , uplifting and moving , sometimes all at once .",4
"The story that emerges has elements of romance , tragedy and even silent-movie comedy .",4
"... a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor .",3
It 's a solid movie about people whose lives are anything but .,4
"By no means a great movie , but it is a refreshingly forthright one .",4
The movie is ingenious fun .,5
The film has several strong performances .,4
"Overall , it 's a pretty mediocre family film .",3
"One of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .",4
Both a successful adaptation and an enjoyable film in its own right .,5
"The movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",1
"It 's a terrible movie in every regard , and utterly painful to watch .",1
"A comedy that is warm , inviting , and surprising .",5
"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",5
"There 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present .",1
"Pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance .",4
"The movie certainly has its share of clever moments and biting dialogue , but there 's just not much lurking below its abstract surface .",3
"Combines sharp comedy , old-fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead \*\*\* , but also about dealing with regret and , ultimately , finding redemption .",5
"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",1
"A thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions .",5
"A funny , triumphant , and moving documentary .",5
Marvelously entertaining and deliriously joyous documentary .,5
You have enough finely tuned acting to compensate for the movie 's failings .,3
"The film , despite the gratuitous cinematic distractions impressed upon it , is still good fun .",4
"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",3
"The story is lacking any real emotional impact , and the plot is both contrived and cliched .",1
"Most of the problems with the film do n't derive from the screenplay , but rather the mediocre performances by most of the actors involved",1
"An involving , inspirational drama that sometimes falls prey to its sob-story trappings .",3
The film can depress you about life itself .,2
"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",5
"This movie has a strong message about never giving up on a loved one , but it 's not an easy movie to watch and will probably disturb many who see it .",3
What a bewilderingly brilliant and entertaining movie this is .,5
"Every so often a film comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy .",2
"That rare movie that works on any number of levels -- as a film of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults .",5
"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",4
A different movie -- sometimes tedious -- by a director many viewers would like to skip but film buffs should get to know .,4
"The plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times",1
"A movie that will thrill you , touch you and make you laugh as well .",4
Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,1
"Dodgy mixture of cutesy romance , dark satire and murder mystery .",3
It is a movie about passion .,3
"A thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` The Thing ' and a geriatric ` Scream . '",1
So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,4
"The dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",2
"The story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive .",2
"The film has too many spots where it 's on slippery footing , but is acceptable entertainment for the entire family and one that 's especially fit for the kiddies .",3
"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",5
"The movie strains to stay on the light , comic side of the issue , despite the difficulty of doing so when dealing with the destruction of property and , potentially , of life itself .",3
Each scene wreaks of routine ; the film never manages to generate a single threat of suspense .,3
"A passable romantic comedy , in need of another couple of passes through the word processor .",3
"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",1
"Viewed as a comedy , a romance , a fairy tale , or a drama , there 's nothing remotely triumphant about this motion picture .",3
Mostly the film is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values .,3
