text,label,cluster
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy,10
"I'm happy however those two don't get a ring. Would be overjoyed if it was at the hands of [NAME], [NAME], and [NAME].",joy,13
"I've recently figured out I'm the perfect mix of smart ass and sweet, the ladies love it.",love,15
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
I get excited reading headlines like this.....all the way until the end where it's always in a country NOT my own.,excitement,17
"I was impressed by your company in the initial post, but now I see they tried to fire you for their mistake. Glad you had some backing!",realization,23
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement,11
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
This just makes me want sushi.,desire,15
"Last year was also the first time we drafted a lineman before round three since [NAME], so I think the earlier look at linemen was needed haha",amusement,11
"Andromeda is that type of game that has extreme potential in becoming a great game, but it botched it in all the little things.",approval,11
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"Andromeda is that type of game that has extreme potential in becoming a great game, but it botched it in all the little things.",approval,11
Wish the teacher has spelled inventors correctly before testing the students.,desire,9
Crayfish. thank you! this cord was from an old beam-type smoke detector.,gratitude,10
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
This just makes me want sushi.,desire,15
That is an awesome idea and execution. Also a great example of an actual free market system working right.,admiration,12
I’m just glad to finally see something truly cringy in a while,embarrassment,17
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
Well they called and said there was a pricing discrepancy and they could not honor it. 😭 sad day.,sadness,11
... and no one seemed to care Except that lonely woman with white hair,sadness,18
Hockey players are more brave than the US Marines. Have you seen how tough they are they are so tough,admiration,12
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
What did we do to deserve [NAME]? Loved that guy since his buff days,love,13
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"I don’t like [NAME] all that much, but that dude seems cool. I hope it hits a goofy dark line like [NAME] or [NAME] tho.",desire,13
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion,6
"I like to support anybody who supports veganism, especially at places like this, to show them their is a demand, and a future for it",desire,12
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy,10
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
Dude couldn’t see he had a spool of hair growing on his face?!,surprise,8
I thought it was going to cut to them still trying to get it out of its mouth! When the kid was holding it again I lost it,disappointment,17
Get some help with your decision. Maybe your church or some non-profit group in your area can talk you through it. Good luck! Keep us updated.,optimism,23
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
What did we do to deserve [NAME]? Loved that guy since his buff days,love,13
Paid $1.66 in Arlington today....love this,love,18
"I was impressed by your company in the initial post, but now I see they tried to fire you for their mistake. Glad you had some backing!",realization,23
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"I don’t like [NAME] all that much, but that dude seems cool. I hope it hits a goofy dark line like [NAME] or [NAME] tho.",desire,13
Please kind sir may I have some more,desire,23
Yeah exactly man haha. Not just that core is bad but hc is always more fun imo,amusement,8
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"I liked the magic but it's really superfluous. Dr [NAME] is literally just ironman with a bad accent, like why does this exist",approval,13
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion,6
"Sad thing is, I wanted to, but I’m stupidly awkward...",sadness,18
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"weirdly enough drug addicts are still human beings, shocking I know ",surprise,17
But I love solids,love,7
Well they called and said there was a pricing discrepancy and they could not honor it. 😭 sad day.,sadness,11
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"I'm sorry, do people NOT listen to [NAME] 9th while driving?",gratitude,14
Makes me want to go shit on the doorstep of 540 Hampshire Street (Good2go HQ),disgust,10
Congrats and good luck moving forward!,admiration,23
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
It’s like you didn’t even read the comment you’re responding to.,realization,6
Surprising you choose to believe things that aren’t true 🤔,surprise,21
I don’t think you understand the meaning of cute,confusion,6
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"Need some new prog material, I'm stoked to listen to it!",excitement,10
I don’t think you understand the meaning of cute,confusion,6
"I liked the magic but it's really superfluous. Dr [NAME] is literally just ironman with a bad accent, like why does this exist",approval,13
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"If they were that good, she wouldn't have burned through 3 pairs in 3 years. ",disappointment,17
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement,11
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy,10
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
"Thanks, ive been thibking about telling the school principal, maybe itll help",gratitude,8
What a trainwreck,curiosity,7
"Safe rooms and hidden passages, I hope.",optimism,0
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,18
Wheres the telescope?,curiosity,1
Fuck shit bitch,anger,7
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy,10
