text,label
"Insurgents Kill 4 National Guards in Baghdad, Aid Worker Kidnapped Insurgents fired mortars at an Iraqi National Guard headquarters north of Baghdad. The Defense Ministry says four people were killed and dozens of others were injured.",World
Baghdad Rocket Attack Kills Two U.S. Soldiers Two American soldiers were killed and five injured Monday in a rocket attack in Baghdad. The military said the incident occurred in the southern part of the city but provided no other details.,World
"Stocks Move Higher As Oil Prices Dip NEW YORK - Stocks moved modestly higher Friday as a dip in oil prices and a satisfactory report on durable goods orders cheered investors at the end of a losing week.    In midafternoon trading, the Dow Jones industrial average was up 39.75, or 0.4 percent, at 10,078.65...",World
"Militants say 2d US hostage killed BAGHDAD -- An Iraqi extremist group linked to Al Qaeda said yesterday that it had killed a second American hostage, a day after a video recording showed the insurgents beheading another American captive. The group announced the slaying on an Islamist website in a statement laced with threats against the US presence in Iraq.",World
"Suspected Islamic insurgents kill 16 people in attack near &lt;b&gt;...&lt;/b&gt; Suspected Islamic militants killed 16 people in a pre-dawn attack south of the Algerian capital on Saturday, an official statement said.",World
"21 killed, 96 hurt in Iraq car bombings BAGHDAD - Insurgents detonated two car bombs at the gates of the main US-Iraqi headquarters here and near major hotels yesterday, killing at least 21 people and wounding 96.",World
"US Stocks Climb as Crude Oil Falls \$2 Stocks rose after US crude oil fell below \$50 a barrel on Monday, offsetting jitters ahead of an uncertain outcome for the US presidential election.",Business
"Stock Markets Fall as Oil Nears \$50 a Barrel NEW YORK, Sept. 22 -- A surge in oil prices and a disappointing earnings report from Morgan Stanley were cited as factors in significant stock market losses Wednesday.",Business
"Dozens Slain During Bloody Day In Iraq RAMADI, Iraq -- Medical officials say fighting between US troops and Iraqi insurgents in the western city of Ramadi has killed at least eight civilians and wounded nearly 20 others.",World
"Walgreen Profit Rises 30.5 Pct, Shares Up  CHICAGO (Reuters) - Walgreen Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WAG.N target=/stocks/quickinfo/fullquote""&gt;WAG.N&lt;/A&gt; on Monday posted a  30.5 percent rise in quarterly profit, boosted by sales of  generic drugs and digital photo processing, sending its shares  to a nearly three-year high.",Business
"Iraq Insurgents Kill Top Police, Hit U.S. Convoy (Reuters) Reuters - Gunmen killed three high-ranking\Iraqi police officers in two separate attacks on Saturday,\among a daily round of bombings and ambushes targeting U.S.\forces and their Iraqi allies.",World
"US Stocks Up Slightly After Ford Forecast  NEW YORK (Reuters) - U.S. blue chips edged higher on   Friday after Ford Motor Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=F.N target=/stocks/quickinfo/fullquote""&gt;F.N&lt;/A&gt; raised its earnings  forecasts, but wireless technology provider Qualcomm Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=QCOM.O target=/stocks/quickinfo/fullquote""&gt;QCOM.O&lt;/A&gt; held back the Nasdaq after saying an accounting review  may reduce pretax income.  ",Business
"Stocks Drop on \$49 Oil, Slowing Economy US blue-chip stocks fell on Thursday to nearly a five-week low as crude oil touched \$49 a barrel, close to the record set last month, and a key gauge of future economic activity fell for a third straight month.",Business
INSURGENTS MASSACRE 49 ARMY RECRUITS The group linked to insurgent leader Abu Musab al-Zarqawi has claimed responsibility for the massacre of 49 unarmed army recruits in one of the bloodiest attacks on Iraq #39;s fledgling security forces.,World
"3M Posts Higher Profit, Misses Estimates  CHICAGO (Reuters) - 3M Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMM.N target=/stocks/quickinfo/fullquote""&gt;MMM.N&lt;/A&gt; on Monday said  third-quarter earnings rose 17 percent due in part to the weak  dollar, but the diversified manufacturer's results came in  below Wall Street's estimates for the first time in at least  seven quarters.",Business
"Oil price at new record of above \$54 pb; Brent crosses \$51 pb NEW YORK, October 12 (newratings.com) - World crude oil prices continued their upward rally today above \$54 per barrel, rising to new record high levels for the sixth consecutive day.",Business
"7 Marines Killed in Iraq's Anbar Province (AP) AP - Seven U.S. Marines were killed in two separate incidents in Iraq's restive Anbar province, the military said Monday, a day after American warplanes pounded Fallujah with missiles as insurgents battled coalition forces in the city.",World
"Astros Pick Munro to Pitch Game 6 of N.L.C.S. Roger Clemens can relax. For now, Pete Munro is the Houston Astros' pick to pitch them into the World Series.",Sports
Iraqi group threatens to kill missing journalist BAGHDAD - A militant group has released a video saying it kidnapped a missing journalist in Iraq and would kill him unless US forces left Najaf within 48 hours. ,World
Oil Climbing Back Up After Supply Report  LONDON (Reuters) - Oil prices rebounded from seven-week  lows on Wednesday as U.S. heating oil stocks fell for an eighth  straight week ahead of winter.,Business
Red Sox hope Schilling doesn #39;t have to pitch again The Boston Red Sox will try to get Curt Schilling ready for another World Series start. They certainly hope they don #39;t need to use him.,Sports
