,text,label
0,Henman gains Masters place What had appeared a potentially awkward couple of days for Tim Henman were transformed into sweetness and light yesterday morning when he qualified for the eight-man end-of-season Masters Cup in Houston in a fortnight #39;s time without the need to win a ,Sports
1,It's October and It's Time for Playoffs! Curt Schilling and Pedro Martinez are revved up. Roger Clemens and Roy Oswalt are rarin' to go...,World
2,"Wachovia Profit Rises 14 Percent Wachovia Corp. (WB.N: Quote, Profile, Research) , the No. 5 US bank, on Friday said third-quarter profit rose 14 percent, helped by increased lending to consumers and a decline in bad loans.",Business
3,"Soldering plays Spadea next LYON, France -- Robin Soderling made sure none of the top four seeds would reach the semifinals of the Lyon Tennis Grand Prix. Soderling upset the highest seed remaining, No.",Sports
4,"21 killed, 96 hurt in Iraq car bombings BAGHDAD - Insurgents detonated two car bombs at the gates of the main US-Iraqi headquarters here and near major hotels yesterday, killing at least 21 people and wounding 96.",World
5,"Bosnia refugee returns reach one million - UN One million Bosnians, about 45 percent of those who fled during the 1992-5 war, have returned to their homes, the UN refugee agency said on Tuesday.",World
6,"Fed expected to deliver fifth quarter-point rate hike With a fall in oil prices easing inflation concerns, the Federal Reserve is expected to continue its easy-does-it approach to raising interest rates, boosting a key rate by a moderate quarter-point at its final meeting of the year Tuesday.",Business
7,"PacifiCare to Buy American Medical  NEW YORK (Reuters) - PacifiCare Health Systems Inc. , one  of the biggest Medicare plan providers, said on Wednesday it  has agreed to buy health-care benefits provider American  Medical Security Group Inc. for \$502 million to expand its  product offerings to individuals and small businesses.",Business
8,"Militants say 2d US hostage killed BAGHDAD -- An Iraqi extremist group linked to Al Qaeda said yesterday that it had killed a second American hostage, a day after a video recording showed the insurgents beheading another American captive. The group announced the slaying on an Islamist website in a statement laced with threats against the US presence in Iraq.",World
9,Mauresmo makes waves at Advanta VILLANOVA - The difference between Amelie Mauresmo and Vera Zvonareva in the WTA rankings is less than 10 places. The difference between Mauresmo and Zvonareva on the court is considerably wider.,Sports
10,"Body of Egyptian Hostage Found in Iraq - Police  BAGHDAD (Reuters) - The body of an Egyptian who was  kidnapped in Iraq last month has been found in northern Iraq,  Iraqi police said on Sunday.",World
