text,label
article name writes dan lawrence bissell writes dont think people understand christian certainly see lot churches rather think way life total sacrafice everything gods sake loved us enough die save us typical statement irrational brainwashed person bible written male chavnist thousands years ago holy books follow parts think suitable modern life ignore others heavens sake dont take literally please leave heaven sake pray dan take literally thats god intended taken dan view many groups appears correct point view however found group truly meeting requirements laid bible means disciple jesus clue wwc please mail id really like get touch hey cant god inspires us turn lives thats tuff people dont want real christian would something strong persevere insert deletion ranting religions obviously gone offcenter dans original context dan im familiar one youve got point though dont want turn everything disciple clue theyve taught done exactly turned everything follow jesus blocked difficult doctrine taught uncaring pharisees teachers law however jesus pointed takes follow disciple luke luke question people ignore command treat optional certainly dont answer insert deletion parting question would become christian indoctrinated parents probably never learned religion make comparative study therefore claim brain washed parents nothing god everything attacking responses must say disagree tone appears judgmental statements possibly point slander talking people please response state instead flying handle discourse may nothing truly discussed im sure dan would much happier time responses joe,soc.religion.christian
article phill hallambaker writes order reject word fbi batf neccessary beleive words man murdered children ordered suicidemurder followers according account given batf attempted serve warrant upon koresh ranch met gunfire deliberate attempt murder koreshgun supporter claim batf started shooting simply stand aft gone start shooting would gone heavier grade weaponry standard issue handguns practical purposes unarmed bd followers automatic weapons people want gun control must obviously discount entire government story simply rationalisation enough simply dismiss government incompetent would require come solution instead come government conspiracy theory whereby government decided set murder people set sort scare alow get gun control legislation must object characterization opposed governments handling waco situation gun supporters argument tries paint batf critics rightwing gun nuts mixes two issues one batffbi critics yet liberal antigun happen believe everyone civil rights even religious crazies theyre human beings nest wasps youre trying exterminate batf created crisis situation way handled original raid well known koresh regularly went jogging outside property could served search warrant could arrested refused comply instead officers armed grenades invaded property escalated shooting war tragic deaths sides first two mistakes bad judgment asking noknock warrant bad probably illegal way alreadyunwise warrant served point situation escalated described armed standoff hostage crisis thats government started covering traces sealing warrant revising reported history incident etc things already building disaster government could simply closed supply routes waited according janet reno option never seriously considered supposedly agents frustrated fatigued supposedly backups felt go entirely possible koresh responsible fire thats deserves blame deaths people compound governments hands far clean first raid demonstrated bad judgment plus contempt th amendment motivations second raid unbelievable coverup events first raid undermines credibility anything thereafter biased fbi agents word happened please lets turn progun vs antigun discussion antigun people believe gunowners deserve get frontally assaulted armed government agents koreshs civil rights exist whether guns legal illegal illegalbutshouldhavebeenlegal whatever rob strom ibm research saw mill river road po box yorktown heights ny,talk.politics.misc
article pat myrto writes sick dismayed discouraged ashamed administration looks like us little tienamen square fbi portraying korash psychopath deliberate mass suicide etc possibly possibly dont believe tear gas used god bless america land free past tense well maybe overreacting see tv typing govt spoksewoman new attorney general known almost rabid private ownership guns wants ban assault guns everything else saying fbi amazing restraint falls back official goverenment line bd guity child abuse ongoing basis vain hope honest investigation occur thing simply whitewashed rug business usual continue order day new order given official title thought police wonder load crap bds absolutely right fire upon batf agents didnt know first surrendered immediately realize dealing little groups loonies get decide laws obey disobey sorts warrants justified like rest us get say voting booth personal wants backed majority voters bad wanted keep automatic weapons could apply proper permits problem warrant get argue court event get establish little nation inside pretend laws lawenforcement personel jurisdiction within borders live us territory live us laws period unless congressman sure situation handled badly batf fbi would easy detain koresh core members streets waco batf threatened budget cuts trying propaganda coup dragging press along big commandostyle assault proof roasted imcompetance mindset hand legal right attack begun pressed finished rather let interminable situation like take root fbi also used poor judgement number ways laws voters approved lawmakers created gave right batf fbi latterday gestapo voters allowed become way waco pure americana militarist mentality religious fanaticism unadulterated violence rolled one experience get pay vote result many choices made years dont blame blame made,talk.politics.guns
article writes article writes use desqviewx think great really shines imho let unix users log pc run dos windows applications display going screens youll need get desqviewx v desqviewx v suggested retail desqviewx x systems v suggested retail also must running supported network ftp softwares pctcp novell lan workplace dos sun microsystems pcnfs beame whiteside wollongong pathway tcpip hp microsoft lan manager dont network stuff quarterdeck give copy novell tcpip transprot dos network manager get info sending email appropriately actually customer service department technical questions write opinion want people logging running applications pc youll want megs ram also xwindows software desqviewx really seems like et tseng labs chipset based graphics card personally found things ran better scsi drive pc esdi drives experience sort traffic generated xcalls curious find required bandwidth link must one machine running dvx supporting multiple users clients require adequate response time anyone ideas expect limiting factor server machine network give realworld example quarterdeck roughly people using dvx talk bunch unix boxes novell file servers much load ethernet maybe concentrators people segment badly loaded net apps wanted run network intensive could run slowdowns biggest problem would machine say plenty ram fast hard disk network card people running programs youre going see slowdowns youre effectively mhz course dvx attempt see tasks idle make sure give time slice working programs running youll know said tweak programs run adding calls give time slices idle sort thing could probably run people given machine started seeing slowdowns time network bandwidth really depends programs ie youre going see slowdown xbandwidth lot sooner apps network things also quarterdeck office systems internet support tom bortels pricingordering tech questions bbs fax compuserve go quarterdeck qfax touchtone phone technotes demand,comp.windows.x
article name writes dan lawrence bissell writes hey cant god inspires us turn lives thats tuff people dont want real christian would something strong persevere think easy muslim buddhist good points buddhism etc deleted one says christianity true christianity hard follow faithfully mean one discounts validity difficulty religions admire religion willing make kind sacrifices dedicate spiritually way talking deleted perhaps leave crap woman created man helper etc think christianity christians believe particular story literally sounds like supporting policy another example helps someones faith take every word bible literally support respect time dont rush one day christianity whole life going church week helping poor people box everything time units work time sports tv social life god boxes ever turn tv pat robertson brain washers oh boy act put number turn pledges god seems alive well inside boxes please dont judge christianity one man man one truly judge christianity jesus makes sense right think point put lives little boxes true comment robertson carried us boxes created parting question would become christian indoctrinated parents probably never learned religion make comparative study therefore claim brain washed raised agnostic father never baptised raised atheist atheist found closemindedness present viewpoint parents equal closemindedness found viewpoint christians came contact thus free choose live life supported decision made join episcopal church although emphasized respect beliefs result intruding beliefs ie try convert decision please flames advice convert one good friends hindi greatly respect beliefs culture surrounding religion best friend jewish always held profound resepct jewish religion chaim potok isaac bashevis singer two favorite authors really think make kind generalization christians choose mean choose faith consciously accepted faith adult lives confirmation represents talk brainwashed vera choose decide still made choice rush freewill,soc.religion.christian
ellis nova r stewart ellis writes anyway use x windows async line clearly could use x x window isnt x window system x x number designations accepted x consortium fact man x pretty much x machine tell x consortium requests following names used referring software x x window system x version x window system version x thing x windows x window despite repeated misuse forms trade rags probably tells something much trust trade rags cant even get name window system right one trust anything else say regard dialup x implementations several buy serial x terminals couple companies including graphon ncd fact im composing ncd running x serial lines across kbaud connection ncd also sells softwareonly package provides xremote ncds implementation serial x pcs may software packages available x r supposed include standardized compression scheme running x lowspeed connections called low bandwidth x lbx based improved versions techniques used ncds xremote seems likely lbx released consortium standard several vendors willing supply implementations various sorts hardware followups directed compwindowsx matt landau waiting flash enlightenment blood thunder,comp.windows.x
hi might look like dull request following newgroup couple weeks didnt help make mind bought new machine long ago disconnected pc world running xt mhz till last january machine bought came equipped ati vga xl graphic card gives nice picture windows drivers pretty stable problem quite slow would like go faster card range saw lot comments many products last weeks didnt get overall picture clear enough make choice question could somebody direct source information would help quest would like get information refresh rates various cards provide quality windows drivers standard vga performance nonwindows stuff direct magazine article something like got winvidzip info enough isa card really satisfied let know information use system configuration fujikama mhz isa system contaq motherboard monitor darius noninterlaced multisync x reach khz horizontally would also like know standard video drivers allow screen dimensioning screen positioning writing eprom graphic card case ati card convenient changing graphics mode since monitor intelligent enough record settings merci lavance information would kind enough provide guy lamouche,comp.sys.ibm.pc.hardware
article dan lawrence bissell writes first want start right say im christian thats okay rest come say makes sense one read tony campollos book liar lunatic real thing might little title writes book anyway part effort destroy christianity process became christian isnt guy lawyer could give info guy never mind im sure plenty responses post appear arguements uses summing book whether jesus god know many dont believe listen different perspective something gain listening others say true make sure true cases book says jesus either liar crazy modern day koresh actually said reasons wouldnt liar follows would die lie wouldnt people able tell liar die lie poverty stricken alunatic sounds perfecetly reasoable whether societal dregs followers would able tell liar necessarily even died believed still makes completely selfish like us whats difference people gathered around kept many gathered hearing seeing someone healed call fool believe heal people historical proof see earlier threads besides least name cause enough deaths make whatever healing gave niether lunatic would entire nation drawn someone crazy sieg heil doubtful fact rediculous example anyone drawn david koresh obviously fool logical people see right away david koresh curious therefore since wasnt liar lunatic must real thing follow definition lunatic disproof thereof seem rather uhhh shaky things note fulfilled loads prophecies psalms isaiah elsewhere hrs alone betrayal crucifixion dont bible moment next time write use good idea dont think people understand christian certainly see lot churches naturally true christians right rather think way life total sacrafice everything gods sake loved us enough die save us hey cant god inspires us turn lives thats tuff people dont want real christian would something strong persevere like weight lifting guitar playing drums whatever takes time dont rush one day christianity whole life going church week helping poor people box everything time units work time sports tv social life god boxes carried us boxes created someone else handle dont know worth sigh adam john cooper verily often laughed weaklings thought good simply claws,alt.atheism
article geoffrey sherwood writes wife purchased viewsonic looking graphics card drive want hz refresh would really like handle cdroms tried orchid p neither things though robert wietek say hz possible modifed driver data base thoughts go back hercules supposed coming vlb version graphite around end march heard precisely zero since anyone know card actually released capabilities price hmm cdrom program must using oddball vga modes think trying get end month released though itll limited quantities think quite back order right megs version come bit later since viewsonic think khz horizontal frequency right youre gonna love megs version x x hz x x hz x x hz x x hz also x x mil x x bit hz bad dont high bandwidth monitor like modes need khz monitor otherwise youll use lower refresh rate want info coming graphite vl go ibm hardware section compuserve ibmhw video sig therere several hercules reps helpful stephen lau elec engineering univ hawaii dont account grad school starts autumn death fm synthesis go gus,comp.sys.ibm.pc.hardware
article david veal writes article writes article writes self defense valid reason rkba vast majority get life without ever use display firearm might missed us news world report excerpt posted fairly consistant polls finding approximately households least one firearm translates individual ownership questionable think fairly safe say youre wrong vast majority ok nearmajority actually firearms still claim vast majority never needs use even threaten anyone right lucky either case means average threat level country rather low besides means selfprotection effective firearms please name key phrase theories nice practicality important taser chose exmpale outlawed virtually everywhere effective gun optimal conditions dealing absolute average think weapons brain never said alternative means selfprotection involved hardware good neighborhoods good isnt every person armed teeth attitude cooperation good neighborhoods residents make aware neighbors notice strangers lurking around good neighborhoods form groups like crimewatch increase effect relative effectiveness police hostiles arrested good neighbors step say thats one officer robbing mr jones house short alternative firepower gangs least benificent manifestation social cooperative replace lead flesh flesh makes better conversationalist invite block party freedoms rights dependent public opinion necessity scientific scrutiny new planet everything dependent either public political opinion usually political imagine inalienable rights somehow wired vast cold cosmos purest egotism dangerous delusion real sense everything government based public approval reason particular time arent public servants commonly adorning trees legality legitimacy also matter governments charter makes rule government violates violated basis existance enforcement becomes matter solely force arms oliver north man positively worshiped many allamerican conservative quarters big ron setup secret government sorts severely illegal deeds kind stuff would twentytolife yet walks free bs happens time fact happens much one really cares anymore legitimacy nonissue legality nonissue long get tbones mtv gives rats ass arguments rkba withstand scientific scrutiny dont like many things issue one perception rather boring statistics excuse sir one suggesting arguments rkba would stand scientific scrutiny claimed one interested statistical aspects argument pure emotion like abortion issue every time young innocent gunneddown drive every time kid murdered jacket every time store clerk executed three dollars change every time moron kills wife took last beer fridge every time someone hears bang night rkba dies emotion hard argue must done anyway emotion wrong argue away cant win stats clearly behind firearms yesterday claimed werent behind protection factor strongly outweigh mindless mayhem factor operating assumption conditions absolutely govern expansion one automatically necessitates contraction firearmsrelated mindless mayhem related availibility firearms become scarce expensive different psychology take hold think would used far less settle trivial complaints,talk.politics.guns
