label,text,cluster
Sports,PREVIEW-Nagpur track plays into Aussie hands - Ganguly India captain Saurav Ganguly expressed his dismay and Australia #39;s Adam Gilchrist his delight as the grassy wicket in Nagpur became the centre of attention on the eve of the third test.,0
Sci/Tech,"iTunes now accepting Paypal payment Today, both Apple and Paypal have announced that the iTunes music store in the US will now accept Paypal purchases for anything on iTunes.",1
Sci/Tech,Storage On A Chip Silicon Image #39;s new lower-cost storage appliance should be more palatable to small and midsize businesses. By Martin J. Garvey.,1
Sci/Tech,"Microsoft checks out new IE security flaw reports  Microsoft is investigating reports of a serious security flaw in Internet Explorer (IE), but has not yet seen malicious code that exploits the reported flaw, the company said Thursday.",1
World,"Russian Government Approves Kyoto, Sends to Parliament (Reuters) Reuters - Russia's government approved the Kyoto\Protocol on Thursday and sent the climate change pact to the\State Duma, the lower house of parliament, for ratification.",0
Business,Circulation investigation hits Times A wide-reaching federal investigation into newspaper circulation practices has knocked on the door of a fourth New York daily - The New York Times.,1
Sports,Lehmann gives evidence at hearing into Hookes #39; death Darren Lehmann gave evidence Monday at the committal hearing of a man charged in the death of former international cricketer David Hookes.,0
Sports,"Cubs Cut Loose Alou, Grudzielanek  CHICAGO (Sports Network) - The Chicago Cubs Thursday  declined to pick up the 2005 options on outfielder Moises Alou  and second baseman Mark Grudzielanek, making the two veterans  free agents.",2
Sci/Tech,"Conn. Man Charged with Selling Secret Windows Code  NEW YORK (Reuters) - A Connecticut man was arrested on  Tuesday on charges that he illegally sold a secret source code  used for Microsoft Corp.'s Windows NT 4.0 and Windows 2000  programs, federal prosecutors said.",1
Business,Taiwan Chip Giant Seeks Strong Partnerships The head of the world #39;s largest contract chip manufacturer said Thursday it will cost an estimated \$1 billion (euro 776 million) for his company to develop the latest chip production technology.,1
Business,LA parking company lands contract renewal with ABIA Los Angeles-based Ampco System Parking has received a multi-year contract renewal with Austin-Bergstrom International Airport. ,1
Sports,"Braves eye sweep for skipper com. If the Braves sweep their doubleheader against the Mets at Turner Field on Tuesday, Braves manager Bobby Cox will become the ninth manager in history to record 2,000 career wins.",2
Sci/Tech,"Will Microsoft Lose The Browser Wars? Will Microsoft Lose The Browser Wars?\\Until recently, software giant, Microsoft's Internet Explorer Web browser enjoyed a relatively unchallenged position as the most popular Web browser in the world.\\Despite lawsuits and charges of unfair competition from the likes of Netscape and others, Microsoft dominates browser software with over 90 market share.\\Microsoft's ...",1
Sports,"Pacers #39; Foster Activated From Injured List Indianapolis, IN -- Indiana Pacers center Jeff Foster was activated from the injured list Tuesday. He had missed the first 17 games of the season after undergoing hip surgery in October.",2
Business,Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,1
Business,"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",1
Business,"Officials Blame Contractors in Tunnel Leak The tunnel containing this city #39;s sunken highway - the crown jewel of the Big Dig, Boston #39;s mammoth \$14.6 billion highway project - is leaking because of improper construction ",1
Business,"Before the Bell: Krispy Kreme Down 11 Pct Shares of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) fell 11 percent before the bell on Monday after the struggling doughnut shop chain reported a quarterly net loss ",1
Sports,"Medical Examiner Finds No Injuries on Thanou-Source ATHENS (Reuters) - A medical examiner has found that Greek sprinter Katerina Thanou, who was in hospital with fellow athlete Costas Kenteris, had no injuries, a judicial source said on Tuesday. ",0
Business,Merck sets up Vioxx review committee BOSTON (CBS.MW) -- Merck  amp; Co. said late Tuesday that it is establishing a committee to review its handling of the controversial withdrawal of its popular painkiller Vioxx from the market.,1
Sports,"Bucks unleash their potential COLUMBUS - Sometimes the best way to deal with bad news is to run from it. Strap on your dancing cleats and fly a little. Maurice Clarett left Buckeye Nation backpedaling and scarlet-faced for more than a week, but Saturday came soon enough.",1
Business,Dollar Rebounds But Tone Is Wary on Jobs  NEW YORK (Reuters) - The dollar rebounded on Monday after  last week's heavy sell-off but analysts were uncertain if the  rally would hold after fresh economic data suggested the  December U.S. jobs report due Friday might not live up to  market expectations.,1
Sci/Tech,"BT will switch its call center network to VoIP One challenge will be to link the call center with back-office databases of CRM applications so that agents can see, for example, the identity of the caller and the history of their account.",1
Sci/Tech,"Science Magazine Names Mars Discovery Breakthrough of the Year Before leaving Endurance Crater, Opportunity rovers panoramic camera, or Pancam, captured this view of  quot;Burns Cliff quot; at the base of the southeastern portion of the inner wall of the crater.",1
World,New Vote of Confidence in European Parliament Tomorrow The European Parliament (EP) will hold a vote of confidence in the new members of the European Union (EU) Commission led by Jose Manuel Barroso tomorrow.,0
Business,"Delta Pilots Vote to Accept 32.5 Percent Pay Cut Pilots at Delta Air Lines overwhelmingly approved a new five-year contract today with \$1 billion in annual concessions sought by the airline, which had threatened to file for bankruptcy if the pilots did not acquiesce.",1
World,"Zhang Readies Another Martial-Arts Saga TORONTO - A few years back, Zhang Yimou was a bit miffed that fellow filmmaker Ang Lee was faster on the draw in elevating the martial-arts epic to serious cinema. But now that Lee's ""Crouching Tiger, Hidden Dragon"" has broken the genre into the mainstream among Western audiences, Zhang is happy to follow his lead...",1
Sci/Tech,"Gartner revises PC market forecast, warns of downside Although the PC market won't grow as fast this year as originally envisioned by Gartner analysts, the industry is still expected to sell 12.6 more units this year than in 2003.",1
Sci/Tech,"Vodafone tests Chinese mobile phone equipment Vodafone Group, Europe's largest mobile phone operator, is testing several network systems from Chinese manufacturers with the intention of purchasing equipment within the next few years.",1
World,Nigerian Oil Delta Rebel Awaits 11th Hour Talks  ABUJA (Reuters) - A rebel fighting for autonomy in  Nigeria's oil-producing Niger Delta arrived in the capital for  talks with President Olusegun Obasanjo on Wednesday on terms to  end violence that helped to push crude prices to record highs.,0
World,"Congress OKs  #36;136B Corporate Tax-Cut Bill (AP) AP - The Senate shipped President Bush a wide-ranging  #36;136 billion corporate tax-cut bill and a disaster aid package on Monday, letting lawmakers head home for the finale of the presidential and congressional campaigns.",1
World,Survey: Format Influenced Voter Priorities (AP) AP - This presidential election has been described by many as one in which morality mattered most to voters. But that perception may be driven at least partially by how pollsters asked voters about their priority issues.,1
Business,"UPDATE 1-Potlatch to sell \$457.5 mln in assets to Ainsworth Forest products company Potlatch Corp. (PCH.N: Quote, Profile, Research) said on Wednesday it agreed to sell certain plants and assets to Canada-based Ainsworth Lumber Co.",1
Sports,"Bengals finish strong BALTIMORE -- First, Carson Palmer tossed the ball all over the field during his finest day in the NFL.",2
Business,Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,1
Business,"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",1
Business,"Officials Blame Contractors in Tunnel Leak The tunnel containing this city #39;s sunken highway - the crown jewel of the Big Dig, Boston #39;s mammoth \$14.6 billion highway project - is leaking because of improper construction ",1
Business,"Before the Bell: Krispy Kreme Down 11 Pct Shares of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) fell 11 percent before the bell on Monday after the struggling doughnut shop chain reported a quarterly net loss ",1
Sports,"Medical Examiner Finds No Injuries on Thanou-Source ATHENS (Reuters) - A medical examiner has found that Greek sprinter Katerina Thanou, who was in hospital with fellow athlete Costas Kenteris, had no injuries, a judicial source said on Tuesday. ",0
Business,Merck sets up Vioxx review committee BOSTON (CBS.MW) -- Merck  amp; Co. said late Tuesday that it is establishing a committee to review its handling of the controversial withdrawal of its popular painkiller Vioxx from the market.,1
Sports,"McNair, Brown Questionable Injuries again kept Tennessee Titans quarterback Steve McNair and running back Chris Brown out of practice Friday, casting doubt on their availability Sunday against the Cincinnati Bengals.",2
Business,"Oracle #39;s next fight seen at boardroom LOS ANGLES (CBS.MW) - Following its latest rejection, the next stage in Oracle Corp #39;s battle to buy PeopleSoft is set to begin in a courtroom on Wednesday.",1
Business,"Anheuser-Busch: World's Drinking More Bud  NEW YORK (Reuters) - Anheuser-Busch Cos. Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BUD.N target=/stocks/quickinfo/fullquote""&gt;BUD.N&lt;/A&gt;, the  largest U.S. brewer, said on Wednesday quarterly profit rose  due to price increases on brands such as Bud Light and strong  growth in its international business, which benefited from the  acquisition of Harbin Brewery in China.",1
World,"Dodgers' Green to Miss Game on Yom Kippur SAN DIEGO - Los Angeles Dodgers first baseman Shawn Green will definitely sit out at least one game of a weekend series against the San Francisco Giants in observance of Yom Kippur, but will wait until Thursday to make his final decision.    Green said Wednesday there's a possibility he'll sit out both Friday night and Saturday afternoon...",2
Sports,"Now, Yanks are on hot seat All the heat and pressure are on them for a change now, and if they lose the next two games and this playoff series to Boston, we may witness two unique phenomena simultaneously: the reversal of an 84-year-old Curse and George Steinbrenner #39;s head ",2
World,Sharon #39;s bold move in Gaza Tuesday #39;s vote in the Israeli Knesset in favor of Prime Minister Ariel Sharon #39;s plan for unilateral withdrawal of settlers and soldiers from Gaza was a historic moment in the history of Israel.,0
Sports,"Rangers steering through recent skid With a little under three hours to go before the first pitch of a crucial series with the Red Sox, the Texas Rangers -- losers of four straight games -- looked anything but concerned about their immediate fate on the diamond.",2
World,"Ukraine opposition rally draws hundreds of thousands (AFP) AFP - Tens of thousands of supporters of opposition presidential candidate Viktor Yushchenko took to the streets of Kiev, a week before the poll, to demand free and fair elections in this former Soviet state after a tense campaign marred by incidents.",0
Sci/Tech,Storage On A Chip Silicon Image #39;s new lower-cost storage appliance should be more palatable to small and midsize businesses. By Martin J. Garvey.,1
Business,Video game giants roll out products Nintendo Co. and Sony Corp. made separate product announcements Tuesday that the video game giants hope will attract more customers ahead of the highly competitive holiday shopping season.,1
World,"Congress Speeds Up 9/11 Legislation Vote WASHINGTON - Racing the clock, Senate leaders are applying finishing touches to bipartisan legislation addressing the Sept. 11 commission's recommendations just as House GOP leaders prepare to debate their version, which Democrats call partisan and weak...",1
Sports,"Disney, NFL look bad after racy MNF intro Prepared statements were flying like tickertape Tuesday, in the wake of ABC #39;s racy introductory skit on Monday Night Football.",1
Business,"Before the Bell: Krispy Kreme Down 11 Pct Shares of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) fell 11 percent before the bell on Monday after the struggling doughnut shop chain reported a quarterly net loss ",1
