,text,original_label,normalized_entropy
0,"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,0.052439763210482805
1,"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0.07855149841231344
2,"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,0.0018397652090012904
3,The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,0.1693048131161856
4,The fourth in a series that I 'll bet most parents had thought -- hoped !,3,0.7364856149379716
5,Interesting and thoroughly unfaithful version of Carmen,4,0.7291049217883228
6,"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .",4,0.20280832587629613
7,"Bisset delivers a game performance , but she is unable to save the movie .",3,0.5047151885608899
8,The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .,5,0.006220955087551895
9,"Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .",1,0.11624742463695313
10,Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,5,0.014843240301391931
11,"Boy , has this franchise ever run out of gas .",1,0.33439617378786957
12,"While there 's likely very little crossover appeal to those without much interest in the Elizabethans ( as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics ) , Much Ado About Something is an amicable endeavor .",4,0.009635848386740592
13,"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5,0.0011669535658912016
14,"Elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",5,5.515279670635884e-07
15,A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5,0.7042381067506718
16,Guys say mean things and shoot a lot of bullets .,2,0.7282590997238861
17,"With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",5,0.44549011915727893
18,Bravado Kathy !,4,0.7364193116332067
19,Eisenstein lacks considerable brio for a film about one of cinema 's directorial giants .,2,6.0297022451949725e-05
20,"Benigni 's Pinocchio is extremely straight and mind-numbingly stilted , its episodic pacing keeping the film from developing any storytelling flow .",3,0.11624234681659357
21,"Ah , yes , that would be me : fighting off the urge to doze .",1,0.0065222085115124
22,A cockeyed shot all the way .,2,0.5641243458678293
23,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,3,0.6185777347952683
24,"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",2,0.4559531728080522
25,Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,2,0.0001282585561876859
26,"There 's no palpable chemistry between Lopez and male lead Ralph Fiennes , plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme .",1,3.253204399971646e-05
27,"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",5,0.022758382683050377
28,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5,0.002871781176977282
29,About Schmidt is undoubtedly one of the finest films of the year .,5,0.0025670623876980062
30,"The film does n't really care about the thousands of Americans who die hideously , it cares about how Ryan meets his future wife and makes his start at the CIA .",2,0.003752246124026592
