,text,original_label,normalized_entropy
0,"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,0.07102414612593493
1,"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0.11482092638163072
2,"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,0.4577405857089085
3,The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,0.09618475887150608
4,The fourth in a series that I 'll bet most parents had thought -- hoped !,3,0.927754480042779
5,Interesting and thoroughly unfaithful version of Carmen,4,0.45266298662830495
6,"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .",4,0.4436466528075854
7,"Bisset delivers a game performance , but she is unable to save the movie .",3,0.0629058229818226
8,The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .,5,0.010478446240652743
9,"Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .",1,0.1774388223038481
10,Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,5,0.02387176156667124
11,"Boy , has this franchise ever run out of gas .",1,0.31473863689294396
12,"While there 's likely very little crossover appeal to those without much interest in the Elizabethans ( as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics ) , Much Ado About Something is an amicable endeavor .",4,0.10246437583803997
13,"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5,0.15009755098221675
14,"Elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",5,0.00029924168447960337
15,A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5,0.3177533905156828
16,Guys say mean things and shoot a lot of bullets .,2,0.3607885994217067
17,"With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",5,0.011386099827243023
18,Bravado Kathy !,4,0.5395832540649007
19,Eisenstein lacks considerable brio for a film about one of cinema 's directorial giants .,2,0.13597078660063
20,"Benigni 's Pinocchio is extremely straight and mind-numbingly stilted , its episodic pacing keeping the film from developing any storytelling flow .",3,0.24132342619325317
21,"Ah , yes , that would be me : fighting off the urge to doze .",1,0.5874611115516554
22,A cockeyed shot all the way .,2,0.966200860595502
23,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,3,0.40342129184854875
24,"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",2,0.4275443090485665
25,Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,2,0.03728590333246444
26,"There 's no palpable chemistry between Lopez and male lead Ralph Fiennes , plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme .",1,0.15283991688490392
27,"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",5,0.012658491919594735
28,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5,0.33224432249954766
29,About Schmidt is undoubtedly one of the finest films of the year .,5,0.0007310713743823172
30,"The film does n't really care about the thousands of Americans who die hideously , it cares about how Ryan meets his future wife and makes his start at the CIA .",2,0.4486652149596004
31,"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",1,0.24122945733628948
32,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",4,0.3320904647330651
33,will be far more interesting to the Soderbergh faithful than it will be to the casual moviegoer who might be lured in by Julia Roberts ...,3,0.3594736604773889
34,An uneven mix of dark satire and childhood awakening .,2,0.12146037504111466
35,It 's not a motion picture ; it 's an utterly static picture .,1,0.24338308884855142
36,Deepa Mehta provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world .,4,0.4378917049366055
37,I saw Juwanna Mann so you do n't have to .,3,0.22664241573986424
38,"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",5,0.004712099296198255
39,And it 's a lousy one at that .,1,0.2420114714531406
40,"Complex , sinuously plotted and , somehow , off-puttingly cold .",2,0.0870402873091467
41,( A ) rather thinly-conceived movie .,1,0.13168518837674562
42,"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",2,0.13791376380428025
43,"A cultural wildcard experience : wacky , different , unusual , even nutty .",5,0.462358071995348
44,It 's not the least of Afghan tragedies that this noble warlord would be consigned to the dustbin of history .,2,0.5054878073834055
45,Everything that was right about Blade is wrong in its sequel .,2,0.13851019199851633
46,I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,5,0.571144317833072
47,"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",4,0.15298152737489923
48,` Snow Dogs ' has both .,3,0.7015333641576218
49,"A classy , sprightly spin on film .",5,0.22430703586067327
50,What is the filmmakers ' point ?,3,0.4923610800364646
51,That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,5,0.003789099247941167
52,"Hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",2,0.0733717273823511
53,"It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .",3,0.3531148276978913
54,The 50-something lovebirds are too immature and unappealing to care about .,1,0.259395214660069
55,Completely creatively stillborn and executed in a manner that I 'm not sure could be a single iota worse ... a soulless hunk of exploitative garbage .,1,0.0
56,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",4,0.4167790797201329
57,"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",1,0.07940906616285172
58,One suspects that Craven endorses They simply because this movie makes his own look much better by comparison .,2,0.4298005555123045
59,A poignant lyricism runs through Balzac and the Little Chinese Seamstress that transforms this story about love and culture into a cinematic poem .,5,0.0033633136331584967
60,Pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of God in the fifth Trek flick .,2,0.3003261091787456
61,"I 've never seen ( a remake ) do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic ...",1,0.0027241479332667565
62,"Some are fascinating and others are not , and in the end , it is almost a good movie .",3,0.45995720343893504
63,"Too much of Nemesis has a tired , talky feel .",2,0.08348767479484726
64,Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,4,0.017411192377274513
65,Some remarkable achival film about how Shanghai ( of all places ) served Jews who escaped the Holocaust .,4,0.4172146391660349
66,"Ratliff 's two previous titles , Plutonium Circus and Purgatory County show his penchant for wry , contentious configurations , and this film is part of that delicate canon .",4,0.44040618980685464
67,It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,5,0.19236714263234378
68,Reign of Fire has the disadvantage of also looking cheap .,1,0.11774436537326409
69,The Fast Runner ' transports the viewer into an unusual space,3,0.30810120892722115
70,"To be influenced chiefly by humanity 's greatest shame , reality shows -- reality shows for God 's sake !",1,0.41143434286508795
71,` Hey Arnold ! ',3,0.7823449720359288
72,( It ) has the feel of a summer popcorn movie .,3,0.24950915386908623
73,A tasty masala .,4,0.22872726653345182
74,The result is so tame that even slightly wised-up kids would quickly change the channel .,2,0.41645613328274206
75,"`` White Oleander , '' the movie , is akin to a Reader 's Digest condensed version of the source material .",2,0.38604360204675203
76,"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",4,0.3360016646379703
77,"But this new jangle of noise , mayhem and stupidity must be a serious contender for the title .",1,0.15309902789823038
78,"Almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited .",3,0.20089884186485024
79,"Sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",2,0.4535197128403784
80,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",4,0.13780036818580502
81,Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,1,0.3683982470877459
82,"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",2,0.45866319797138844
83,How inept is Serving Sara ?,1,0.21148763284543234
84,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,2,0.4318073500638097
85,What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,3,0.6490669235285306
86,Leigh is one of the rare directors who feels acting is the heart and soul of cinema .,5,0.07252011763467915
87,An enjoyable above average summer diversion .,4,0.003550055920415501
88,"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",4,0.09921432421414235
89,Ah-nuld 's action hero days might be over .,2,0.6398454730478879
90,A bore that tends to hammer home every one of its points .,2,0.3852629632741255
91,"Parents , on the other hand , will be ahead of the plot at all times , and there is n't enough clever innuendo to fil",3,0.2854061818282326
92,It was a dark and stormy night ...,3,0.799757038158329
93,"Halfway through , however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .",2,0.08923610825503338
94,"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",4,0.022516244188522095
95,There are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .,3,0.1804242660442058
96,"First-time writer-director Dylan Kidd also has a good ear for dialogue , and the characters sound like real people .",4,0.4272743325943824
97,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,1,0.021468719548600204
98,Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,1,0.4623497766310198
99,An exhilarating experience .,5,0.015668515930092466
100,The viewer takes great pleasure in watching the resourceful Molly stay a step ahead of her pursuers .,4,0.17737896498588118
101,It 's not as awful as some of the recent Hollywood trip tripe ... but it 's far from a groundbreaking endeavor .,2,0.41922776605351514
102,"A slam-bang extravaganza that is all about a wild-and-woolly , wall-to-wall good time .",5,0.004218817226478831
103,The satire is just too easy to be genuinely satisfying .,2,0.3497849819608102
104,"Piercingly affecting ... while clearly a manipulative film , emerges as powerful rather than cloying .",4,0.2957133600893613
105,"After seeing ` Analyze That , ' I feel better already .",4,0.2616543761777427
106,"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",3,0.3009627530672888
107,"Every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .",5,0.3686969013544129
108,"You 'll forget about it by Monday , though , and if they 're old enough to have developed some taste , so will your kids .",1,0.7615115553431294
109,"Brilliantly written and well-acted , Yellow Asphalt is an uncompromising film .",5,0.005334352827599444
110,"Personal Velocity has a no-frills docu-Dogma plainness , yet Miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire .",3,0.3061439640706348
111,"With this masterful , flawless film , ( Wang ) emerges in the front ranks of China 's now numerous , world-renowned filmmakers .",5,0.00019119404732870972
112,"All of it works smoothly under the direction of Spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",5,0.04411593049934128
113,"This is an exercise in chilling style , and Twohy films the sub , inside and out , with an eye on preserving a sense of mystery .",5,0.3680221316389624
114,Not even Felinni would know what to make of this Italian freakshow .,1,0.39258666489904764
115,Mostly the film is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values .,3,0.1230991467951937
116,The disjointed mess flows as naturally as Jolie 's hideous yellow ` do .,1,0.04455883318059773
117,"Over the years , Hollywood has crafted a solid formula for successful animated movies , and Ice Age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor .",5,0.012622396691588681
118,Or else a doggie winks .,3,0.9306431444400023
119,"Since Dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer , it misses a major opportunity to be truly revelatory about his psyche .",2,0.07831278834514334
120,"The story , once it gets rolling , is nothing short of a great one .",5,0.3849510790189149
121,You wo n't exactly know what 's happening but you 'll be blissfully exhausted .,3,0.361324069231571
122,"Despite the film 's bizarre developments , Hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .",4,0.03990993075660961
123,Apparently reassembled from the cutting-room floor of any given daytime soap .,2,0.2417319792081686
124,Femme Fatale offers nothing more than a bait-and-switch that is beyond playing fair with the audience .,2,0.05393119128330333
125,"As social exposé , Skins has its heart in the right place , but that 's not much to hang a soap opera on .",3,0.15780892463125387
126,Troll the cult section of your local video store for the real deal .,3,0.4728334786728005
127,A mildly enjoyable if toothless adaptation of a much better book .,3,0.46137950042701725
128,Adaptation is simply brilliant .,5,0.000573988787476914
129,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .,5,0.0007118371365639493
130,It is a movie about passion .,3,0.5278401658167462
131,"If anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .",5,0.15009542265616357
132,All the small moments and flashbacks do n't add up to much more than trite observations on the human condition .,2,0.28244440834798723
133,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",5,0.0024152828378245362
134,The biggest problem with this movie is that it 's not nearly long enough .,3,0.478505613985808
135,"Cox offers plenty of glimpses at existing photos , but there are no movies of Nijinsky , so instead the director treats us to an aimless hodgepodge .",1,0.3344139223557794
136,"... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .",1,0.026666732787779295
137,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",2,0.18531338966412483
138,This pathetic junk is barely an hour long .,1,0.014122726932998745
139,A word of advice to the makers of The Singles Ward : Celebrity cameos do not automatically equal laughs .,1,0.39431494494361574
140,Epps has neither the charisma nor the natural affability that has made Tucker a star .,1,0.4422207746158626
141,"While this film has an ` A ' list cast and some strong supporting players , the tale -- like its central figure , Vivi -- is just a little bit hard to love .",2,0.4325653622062652
142,"You need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of Haynes ' work .",4,0.1777374983619292
143,But the movie 's narrative hook is way too muddled to be an effectively chilling guilty pleasure .,2,0.0690627500543794
144,"Still rapturous after all these years , Cinema Paradiso stands as one of the great films about movie love .",5,0.0019026608587662435
145,An effortlessly accomplished and richly resonant work .,5,0.00041245391156272896
146,LaBute 's careful handling makes the material seem genuine rather than pandering .,5,0.40039004159687164
147,To Blandly Go Where We Went 8 Movies Ago ...,2,0.4815972507014052
148,"Pete 's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish .",5,0.05389217514732952
149,"An inconsequential , barely there bit of piffle .",2,0.03604428306541629
150,"... Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",4,0.0490529819867243
151,"On a cutting room floor somewhere lies ... footage that might have made No Such Thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.20979783227126333
152,Narc is a no-bull throwback to 1970s action films .,5,0.4020066239057852
153,"You have once again entered the bizarre realm where director Adrian Lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal .",3,0.8484377046147384
154,What a bewilderingly brilliant and entertaining movie this is .,5,0.0004114106888910777
155,"In some ways , Lagaan is quintessential Bollywood .",3,0.5191371620189964
156,"There 's some outrageously creative action in The Transporter ... ( b ) ut by the time Frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",2,0.24410495953514502
157,Miller has crafted an intriguing story of maternal instincts and misguided acts of affection .,4,0.45265579843309434
158,"The story suffers a severe case of oversimplification , superficiality and silliness .",1,0.17737125376046345
159,This is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .,5,0.0018973509372908087
160,"As a movie , it never seems fresh and vital .",3,0.12615905524616988
161,"But it will just as likely make you weep , and it will do so in a way that does n't make you feel like a sucker .",4,0.45820825689815
162,"Unlike most anime , whose most ardent fans outside Japan seem to be introverted young men with fantasy fetishes , Metropolis never seems hopelessly juvenile .",4,0.29797821406386105
163,There 's a sheer unbridled delight in the way the story unfurls ...,4,0.04879423052724635
164,"For most of its footage , the new thriller proves that director M. Night Shyamalan can weave an eerie spell and that Mel Gibson can gasp , shudder and even tremble without losing his machismo .",5,0.385165948665812
165,"Triple X is a double agent , and he 's one bad dude .",4,0.6408242618546456
166,It 's not original enough .,2,0.06477093190142111
167,Lawrence plumbs personal tragedy and also the human comedy .,4,0.44486189743922194
168,Too bland and fustily tasteful to be truly prurient .,2,0.42981019752726524
169,It 's hard to believe that something so short could be so flabby .,2,0.39239846149648017
170,"The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows .",2,0.2870669807585634
171,"Made-Up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on America 's skin-deep notions of pulchritude .",3,0.4229762889766307
172,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",1,0.17738139736000308
173,"Good , solid storytelling .",5,0.025003180793683234
174,"Murder by Numbers ' is n't a great movie , but it 's a perfectly acceptable widget .",3,0.010949445418583361
175,The only question ... is to determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering .,2,0.7973835960318755
176,"Ignore the reputation , and ignore the film .",2,0.021623241502267323
177,"Cuba Gooding Jr. valiantly mugs his way through Snow Dogs , but even his boisterous energy fails to spark this leaden comedy .",2,0.3158057328489993
178,It 's a fun adventure movie for kids ( of all ages ) that like adventure .,5,0.19371223695368509
179,A lot more dimensional and complex than its sunny disposition would lead you to believe .,4,0.2959528699005996
180,A drama ?,3,0.7173907471055796
181,Together ( Time Out and Human Resources ) establish Mr. Cantet as France 's foremost cinematic poet of the workplace .,4,0.011409359108753315
182,"An unencouraging threefold expansion on the former MTV series , accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. .",2,0.12618575656163947
183,"The script 's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off .",3,0.45237974236384015
184,It is definitely worth seeing .,5,0.4531829446765394
185,"It 's super - violent , super-serious and super-stupid .",1,0.242587376384833
186,The only thing I laughed at were the people who paid to see it .,2,0.010249783305813435
187,The problem with all of this : It 's not really funny .,2,0.4481018946961062
