text,label
A full-frontal attack on audience patience .,1
"Before long , you 're desperate for the evening to end .",1
"Ice Age wo n't drop your jaw , but it will warm your heart , and I 'm giving it a strong thumbs up .",4
"The Four Feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .",4
"A sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",2
Ms. Hutchins is talented enough and charismatic enough to make us care about Zelda 's ultimate fate .,5
"It 's not a classic spy-action or buddy movie , but it 's entertaining enough and worth a look .",3
Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .,5
"Certainly not a good movie , but it was n't horrible either .",2
"That rare movie that works on any number of levels -- as a film of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults .",5
Beautifully directed and convincingly acted .,4
Delight your senses and crash this wedding !,5
Hey Arnold !,3
"Like life on the island , the movie grows boring despite the scenery .",1
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5
The only thing I laughed at were the people who paid to see it .,2
Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,1
"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",1
"After seeing ` Analyze That , ' I feel better already .",4
"This is surely one of the most frantic , virulent and foul-natured Christmas season pics ever delivered by a Hollywood studio .",1
"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .",4
A rather tired exercise in nostalgia .,2
"It would be disingenuous to call Reno a great film , but you can say that about most of the flicks moving in and out of the multiplex .",3
"If anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .",5
` Hey Arnold ! ',3
"For most of its footage , the new thriller proves that director M. Night Shyamalan can weave an eerie spell and that Mel Gibson can gasp , shudder and even tremble without losing his machismo .",5
"The movie turns out to be ( Assayas ' ) homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",2
"As Allen 's execution date closes in , the documentary gives an especially poignant portrait of her friendship with the never flagging legal investigator David Presson .",3
"It could have been something special , but two things drag it down to mediocrity -- director Clare Peploe 's misunderstanding of Marivaux 's rhythms , and Mira Sorvino 's limitations as a classical actress .",1
"In capturing the understated comedic agony of an ever-ruminating , genteel yet decadent aristocracy that can no longer pay its bills , the film could just as well be addressing the turn of the 20th century into the 21st .",3
"... has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .",3
The Pool drowned me in boredom .,2
"If you do n't laugh , flee .",3
"It 's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",5
"Soulless and -- even more damning -- virtually joyless , XXX achieves near virtuosity in its crapulence .",1
Director Boris von Sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,3
An effortlessly accomplished and richly resonant work .,5
"It 's an effort to watch this movie , but it eventually pays off and is effective if you stick with it .",4
"Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .",4
"At once emotional and richly analytical , the Cosby-Seinfeld encounter alone confirms the serious weight behind this superficially loose , larky documentary .",3
"While there 's likely very little crossover appeal to those without much interest in the Elizabethans ( as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics ) , Much Ado About Something is an amicable endeavor .",4
Thumbs down .,1
Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,2
`` ... something appears to have been lost in the translation this time .,1
"Rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",4
"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",4
"In some ways , Lagaan is quintessential Bollywood .",3
even after 90 minutes of playing opposite each other Bullock and Grant still look ill at ease sharing the same scene .,2
"It 's a rollicking adventure for you and all your mateys , regardless of their ages .",5
"The film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .",1
But it also comes with the laziness and arrogance of a thing that already knows it 's won .,2
"There are some laughs in this movie , but Williams ' anarchy gets tiresome , the satire is weak .",2
"A thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions .",5
The movie does n't add anything fresh to the myth .,2
"Yes , I have given this movie a rating of zero .",1
` Alice 's adventure through the looking glass and into zombie-land ' is filled with strange and wonderful creatures .,4
McTiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious .,2
Real Women Have Curves does n't offer any easy answers .,3
One of the most important and exhilarating forms of animated filmmaking since old Walt doodled Steamboat Willie .,5
"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",4
