text,label
In an ART FILM !,4
"At once emotional and richly analytical , the Cosby-Seinfeld encounter alone confirms the serious weight behind this superficially loose , larky documentary .",3
Not to mention absolutely refreshed .,5
"Wow , a jump cut !",3
Who is the audience for Cletis Tout ?,3
There 's something about a marching band that gets me where I live .,3
"( Javier Bardem is ) one of the few reasons to watch the film , which director Gerardo Vera has drenched in swoony music and fever-pitched melodrama .",3
A cockeyed shot all the way .,2
City by the Sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for .,4
"You need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of Haynes ' work .",4
"for those for whom the name Woody Allen was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , Hollywood Ending is a depressing experience",1
"( Creates ) the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama .",1
"Frankly , it 's kind of insulting , both to men and women .",1
"It never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time .",4
A semi-autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of Bugsy than the caterer had anything to do with it .,1
"Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .",4
"An authentically vague , but ultimately purposeless , study in total pandemonium .",2
It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,5
"Any reasonably creative eighth-grader could have written a more credible script , though with the same number of continuity errors .",1
"Wow , so who knew Charles Dickens could be so light-hearted ?",4
Eh .,3
"The question hanging over The Time Machine is not , as the main character suggests , ` what if ? '",3
In the end there is one word that best describes this film : honest .,4
"No Such Thing is sort of a minimalist Beauty and the Beast , but in this case the Beast should definitely get top billing .",5
"Creeps you out in high style , even if Nakata did it better .",3
"A passable romantic comedy , in need of another couple of passes through the word processor .",3
"This movie has a strong message about never giving up on a loved one , but it 's not an easy movie to watch and will probably disturb many who see it .",3
The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .,1
A backstage must-see for true fans of comedy .,5
It 's a solid movie about people whose lives are anything but .,4
"( A ) thoughtful , visually graceful work .",5
"Just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little-known perspective .",4
"The search for redemption makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .",5
"Each scene drags , underscoring the obvious , and sentiment is slathered on top .",2
Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other .,1
"I guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen .",1
"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",1
Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,1
"Drawing on an irresistible , languid romanticism , Byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",5
Who is this movie for ?,3
"Made to be Jaglomized is the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab and money .",2
Disturbing .,2
A very pretty after-school special .,3
"The story , touching though it is , does not quite have enough emotional resonance or variety of incident to sustain a feature , and even at 85 minutes it feels a bit long .",3
"... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",2
It 's not as awful as some of the recent Hollywood trip tripe ... but it 's far from a groundbreaking endeavor .,2
A dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3D goggles the theater provides .,4
"If you 're looking for a smart , nuanced look at de Sade and what might have happened at Picpus , Sade is your film .",4
Everything that was right about Blade is wrong in its sequel .,2
"Pull ( s ) off the rare trick of recreating not only the look of a certain era , but also the feel .",3
"What ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between Americans and Brits .",1
Movies like High Crimes flog the dead horse of surprise as if it were an obligation .,1
"The movie resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates .",1
The whole thing comes off like a particularly amateurish episode of Bewitched that takes place during Spring Break .,2
"A comedy that is warm , inviting , and surprising .",5
A drama ?,3
Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?,5
"When you resurrect a dead man , Hard Copy should come a-knocking , no ?",3
"As social exposé , Skins has its heart in the right place , but that 's not much to hang a soap opera on .",3
"To those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` Divine Secrets of the Ya-Ya Sisterhood , ' but that 's not saying much .",4
