text,label,cluster
"One of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .",4,1
As steamy as last week 's pork dumplings .,1,0
"Hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",2,1
"Sinks into the usual cafeteria goulash of fart jokes , masturbation jokes , and racist Japanese jokes .",3,0
"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",5,1
Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .,5,1
In the end there is one word that best describes this film : honest .,4,1
"Rymer does n't trust laughs -- and does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects .",2,0
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,1
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,1
"What ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between Americans and Brits .",1,0
"... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",2,1
The movie does n't add anything fresh to the myth .,2,0
"When you resurrect a dead man , Hard Copy should come a-knocking , no ?",3,0
"The movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",1,1
So original in its base concept that you can not help but get caught up .,5,1
Entertainment more disposable than Hanna-Barbera 's half-hour cartoons ever were .,3,0
"The best didacticism is one carried by a strong sense of humanism , and Bertrand Tavernier 's oft-brilliant Safe Conduct ( `` Laissez-passer '' ) wears its heart on its sleeve .",5,1
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,1
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,1
Interesting and thoroughly unfaithful version of Carmen,4,4
"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .",4,0
"Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .",1,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
The fourth in a series that I 'll bet most parents had thought -- hoped !,3,0
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,1
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,1
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,1
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,1
A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5,1
"A cultural wildcard experience : wacky , different , unusual , even nutty .",5,4
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5,0
I saw Juwanna Mann so you do n't have to .,3,0
"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",2,0
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
It 's not a motion picture ; it 's an utterly static picture .,1,1
Interesting and thoroughly unfaithful version of Carmen,4,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,1
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,1
"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",1,1
