text,label
"No Urban renewal for fading Notre Dame NEW YORK - When Notre Dame fired Tyrone Willingham earlier this week, there was a strong feeling among certain influential Board of Trustees members that the university had to move immediately or risk losing coveted Utah coach Urban Meyer to another school ",Sports
Russian beer advertisements canned Putin signs law restricting airtime and content in effort to curb his country #39;s alcohol intake. MOSCOW (Reuters) - A sweeping ban on beer advertising in Russia became law Tuesday in a move to curb the country #39;s ,Business
"Court Documents Not Fit for Web? States are rethinking their policy of publishing all court documents -- divorces, medical histories, arrests -- on the web. On one hand is the citizens' right to know how their government operates. On the other is their right to privacy. By Jacob Ogles.",Sci/Tech
"President sees lead shrink on U of I Electronic Markets Iowa City, Ia. - President Bush #39;s lead in the University of Iowa-run Iowa Electronic Markets has shrunk in the past week with Democratic challenger Sen. John Kerry making a comeback among online investors, according to markets data on Friday.",Business
"Filter Corporate Email Through Gmail Filter Corporate Email Through Gmail\\Shawn Hogan from DigitalPoint actually started filtering his various corporate email accounts through the gmail mail server. Shawn used many types of spam detection and filtering systems, including Spam Assassin, which I am happy with, to block unwanted email. But for some reason 2,000 spam emails ...",Sci/Tech
"Microsoft Doubles Blocking Time For SP2 Microsoft has doubled the time that businesses can block Windows XP SP2 from downloading automatically, giving them until mid-April to test the update.",Sci/Tech
"More PE Time May Fight Child Obesity Just an extra hour of exercise a week could significantly cut obesity among young overweight girls, according to a study that researchers say could lead to major changes in the way schools fight obesity.    The study - the largest look yet at obesity among young children - did not show the same results for boys, possibly because they generally get more exercise than girls...",World
"Heart Attacks Don't Stop Most Smokers By EMMA ROSS    MUNICH, Germany (AP) -- More than half of European smokers who suffer a heart attack, bypass surgery or other serious heart problem are still smoking a year later, despite anti-smoking campaigns and doctors' advice to stop, a new study found.    Experts said the findings, presented Monday at Europe's largest medical conference, indicate that smoking cessation efforts are failing many of the most vulnerable victims...",Sci/Tech
"Something about Harry You could be forgiven for thinking a military coup has just taken place on the south coast of England. Sven Goran Eriksson, Rupert Lowe and some other bloke.",Sports
"O #39;Keefe to meet on Thursday with LSU chancellor search committee The head of the nation #39;s space program will interview for the job as chancellor of LSU this week. NASA Administrator Sean O #39;Keefe, who has ties to Louisiana, has been recruited by LSU officials ",Sci/Tech
"National union leaders set a timeline for change November 11, 2004. WASHINGTON -aced with the impact of labor #39;s political loss on Nov. 2, the AFL-CIO Executive Council decided on Nov. 10 on a timeline for changes in the union movement ",Business
Video game giants roll out products Nintendo Co. and Sony Corp. made separate product announcements Tuesday that the video game giants hope will attract more customers ahead of the highly competitive holiday shopping season.,Business
"Renewable energy may be offered by Empire Empire Electric #39;s 15,000 member-owners may be able to get all or part of their electricity from renewable sources starting in January.",Sci/Tech
"Novartis: FDA OKs Expanded Zelnorm Use Swiss drug maker Novartis Pharma AG said Monday that the Food and Drug Administration approved another use for the company #39;s Zelnorm irritable bowel drug, clearing Novartis to market the medicine as a treatment for chronic constipation in male and female ",Sci/Tech
"A cure for shortage? It #39;s too late for this year #39;s flu season, but a Canadian drug company yesterday said it has agreed to provide influenza vaccines to Henry Schein Inc.",Business
"Movie Industry Sues More DVD Chip Makers on Piracy  LOS ANGELES (Reuters) - The representative for Hollywood's  major movie studios on Monday said its members have sued two  microchip makers, alleging they sold their products to makers  of equipment that can be used to illegally copy DVDs.",Sci/Tech
"Communism, capitalism forge throngs in Bucharest BUCHAREST, Romania -- No parking spaces. Crippling traffic jams. Sky-high rents. Is this London, Rome, or Athens? No, it's Bucharest, where communism and capitalism have conspired to make it Europe's most crowded capital.",World
"Intel Pentium 4 prices slashed by 35 The price of the Pentium 4 560 is now priced at \$417 from \$637, while prices of other desktop Pentium 4 chips are cut by 18 percent to 33 percent.",Sci/Tech
"US games outfit catches rebranding cold &lt;strong&gt;LogoWatch&lt;/strong&gt; Unpleasant, but not fatal",Sci/Tech
"New priority: SLC ponders ways to absorb Delta flights With January fast approaching, and with it the prospect of nearly 60 new Delta flights, Salt Lake City International Airport officials are rushing to absorb the increase.",Business
Taiwan Chip Giant Seeks Strong Partnerships The head of the world #39;s largest contract chip manufacturer said Thursday it will cost an estimated \$1 billion (euro 776 million) for his company to develop the latest chip production technology.,Business
"Feds Hunt Source of GOP Data When contact info for Republican delegates got posted on the web, the Department of Justice subpoenaed an ISP, but now seems to be backing off. Ann Harrison reports from New York.",Sci/Tech
"Leaving behind their legacy A seasonlong celebration commemorating 20 years in NASCAR has turned to mourning for car owner Rick Hendrick, whose father died in July and whose brother and only son died Sunday in a private plane crash.",Sports
Brazilian striker dies during Indian club match Brazilian striker Cristiano de Lima Jr died yesterday after collapsing on the field during a domestic club tournament in the southern Indian city of Bangalore.,Sports
"Disney, NFL look bad after racy MNF intro Prepared statements were flying like tickertape Tuesday, in the wake of ABC #39;s racy introductory skit on Monday Night Football.",Sports
HP cues iPod Hewlett-Packard brands its own version of Apple's music player and introduces a line of consumer products.,Sci/Tech
"From Spam To Lacrosse, A Day for The Books (washingtonpost.com) washingtonpost.com - New laws aimed at prosecuting big-time Internet spammers, helping small businesses and elevating lacrosse to the status of ""state team sport"" will become effective today in Maryland.",Sci/Tech
"Some won, some lost, but Greece triumphed over all ATHENS - We owe them an apology, oh yes we do. The Greeks pulled off the Olympic Games after we said they did not have a prayer, and now there #39;s but one way to make it right: The Summer Games belong here ",Sports
"Officials Blame Contractors in Tunnel Leak The tunnel containing this city #39;s sunken highway - the crown jewel of the Big Dig, Boston #39;s mammoth \$14.6 billion highway project - is leaking because of improper construction ",Business
"Arthritis drug a heart attack risk, study finds United States drug giant Pfizer says a trial has found a sharp rise in heart attacks for patients using its blockbuster Celebrex arthritis and pain medicine.",Business
"Divers find gash in hull of oil tanker A 6-foot gash has been discovered in the hull of a tanker that leaked 30,000 gallons of crude oil into the Delaware River Friday night, officials said yesterday.",Sports
"To tithe, make it first item in budget WASHINGTON -- Why is the subject of giving such a difficult thing to discuss? Some folks would rather ask someone for a kidney than for a donation to a charitable cause.",Business
"NHLPA Disputes Claims The NHLPA said on Thursday that its 24 percent salary rollback would produce a \$275.5 million profit for teams as opposed to a \$568.5 million loss, as stated by the NHL.",Sports
Moving Ideas Off Campus The transfer of technological innovations from the campus to the capitalist marketplace has been a financial windfall for many schools.,Sci/Tech
"Woman believed to be 1st to walk around Australia strides back to hometown (Canadian Press) Canadian Press - MELBOURNE, Australia (AP) - A 36-year-old businesswoman was believed to be the first woman to walk around Australia on Friday after striding into her hometown of Melbourne to complete her 16,700-kilometre trek in 365 days.",World
"Movie studios sue US, European file-sharing  #39;parasites #39; LOS ANGELES - Movie studios have expanded their fight against illegal downloading, suing more than 100 US and European-based computer services that transmit movie files across Internet file-sharing networks.",Sci/Tech
