text,label
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4
The fourth in a series that I 'll bet most parents had thought -- hoped !,3
Interesting and thoroughly unfaithful version of Carmen,4
"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .",4
"Bisset delivers a game performance , but she is unable to save the movie .",3
The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .,5
"Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .",1
Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,5
"Boy , has this franchise ever run out of gas .",1
"While there 's likely very little crossover appeal to those without much interest in the Elizabethans ( as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics ) , Much Ado About Something is an amicable endeavor .",4
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5
"Elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",5
A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5
Guys say mean things and shoot a lot of bullets .,2
"With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",5
Bravado Kathy !,4
Eisenstein lacks considerable brio for a film about one of cinema 's directorial giants .,2
"Benigni 's Pinocchio is extremely straight and mind-numbingly stilted , its episodic pacing keeping the film from developing any storytelling flow .",3
"Ah , yes , that would be me : fighting off the urge to doze .",1
A cockeyed shot all the way .,2
A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,3
"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",2
Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,2
"There 's no palpable chemistry between Lopez and male lead Ralph Fiennes , plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme .",1
"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",5
"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5
About Schmidt is undoubtedly one of the finest films of the year .,5
"The film does n't really care about the thousands of Americans who die hideously , it cares about how Ryan meets his future wife and makes his start at the CIA .",2
"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",1
"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",4
will be far more interesting to the Soderbergh faithful than it will be to the casual moviegoer who might be lured in by Julia Roberts ...,3
An uneven mix of dark satire and childhood awakening .,2
It 's not a motion picture ; it 's an utterly static picture .,1
Deepa Mehta provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world .,4
I saw Juwanna Mann so you do n't have to .,3
"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",5
And it 's a lousy one at that .,1
"Complex , sinuously plotted and , somehow , off-puttingly cold .",2
( A ) rather thinly-conceived movie .,1
"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",2
"A cultural wildcard experience : wacky , different , unusual , even nutty .",5
It 's not the least of Afghan tragedies that this noble warlord would be consigned to the dustbin of history .,2
Everything that was right about Blade is wrong in its sequel .,2
I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,5
"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",4
` Snow Dogs ' has both .,3
"A classy , sprightly spin on film .",5
What is the filmmakers ' point ?,3
That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,5
"Hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",2
"It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .",3
The 50-something lovebirds are too immature and unappealing to care about .,1
