,text,label
0,"an admirable , sometimes exceptional film",5
1,"Wanders all over the map thematically and stylistically , and borrows heavily from Lynch , Jeunet , and von Trier while failing to find a spark of its own .",2
2,Alternately frustrating and rewarding .,4
3,The Sweetest Thing leaves an awful sour taste .,2
4,The latest Adam Sandler assault and possibly the worst film of the year .,1
5,Romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong .,2
6,A strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet .,5
7,"While this film has an ` A ' list cast and some strong supporting players , the tale -- like its central figure , Vivi -- is just a little bit hard to love .",2
8,"Filled with Alexandre Desplat 's haunting and sublime music , the movie completely transfixes the audience .",5
9,"Cox offers plenty of glimpses at existing photos , but there are no movies of Nijinsky , so instead the director treats us to an aimless hodgepodge .",1
10,"It has a way of seeping into your consciousness , with lingering questions about what the film is really getting at .",4
11,"Dodgy mixture of cutesy romance , dark satire and murder mystery .",3
12,"Fifty years after the fact , the world 's political situation seems little different , and ( director Phillip ) Noyce brings out the allegory with remarkable skill .",5
13,"What little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .",1
14,"The film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .",1
15,"Dull , a road-trip movie that 's surprisingly short of both adventure and song .",1
16,"The case is a convincing one , and should give anyone with a conscience reason to pause .",5
17,"No French people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",1
18,"There 's some outrageously creative action in The Transporter ... ( b ) ut by the time Frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",2
19,Amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances .,5
20,Watching these eccentrics is both inspiring and pure joy .,5
21,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,1
22,"Confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",1
23,What we get in FearDotCom is more like something from a bad Clive Barker movie .,1
24,Mostly the film is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values .,3
25,Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,1
26,Generic thriller junk .,1
27,"Some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options .",4
28,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,1
29,Fun and nimble .,5
30,"All of it works smoothly under the direction of Spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",5
31,"In some ways , Lagaan is quintessential Bollywood .",3
32,"An involving , inspirational drama that sometimes falls prey to its sob-story trappings .",3
33,"Every so often a film comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy .",2
34,It 's Splash without the jokes .,1
35,"Both shrill and soporific , and because everything is repeated five or six times , it can seem tiresomely simpleminded .",1
36,"Stale , futile scenario .",2
37,"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",1
38,Not just unlikable .,2
39,"This is as lax and limp a comedy as I 've seen in a while , a meander through worn-out material .",2
40,It 's just a movie that happens to have Jackie Chan in it .,2
41,"But this time , the old MIB label stands for Milder Is n't Better .",2
42,"If you 're not a fan , it might be like trying to eat Brussels sprouts .",2
43,Each scene wreaks of routine ; the film never manages to generate a single threat of suspense .,3
44,Ah-nuld 's action hero days might be over .,2
45,Rosenthal ( Halloween II ) seems to have forgotten everything he ever knew about generating suspense .,2
46,"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",2
47,"Stephen Earnhart 's documentary is a decomposition of healthy eccentric inspiration and ambition -- wearing a cloak of unsentimental , straightforward text -- when it 's really an exercise in gross romanticization of the delusional personality type .",2
48,"Any reasonably creative eighth-grader could have written a more credible script , though with the same number of continuity errors .",1
49,A cockeyed shot all the way .,2
50,Leigh is one of the rare directors who feels acting is the heart and soul of cinema .,5
51,As steamy as last week 's pork dumplings .,1
52,Screenwriter Dan Schneider and director Shawn Levy substitute volume and primary colors for humor and bite .,4
53,"Few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying .",4
54,This is SO De Palma .,3
55,Who is this movie for ?,3
56,"It 's hard to imagine anyone managing to steal a movie not only from charismatic rising star Jake Gyllenhaal but also from accomplished Oscar winners Susan Sarandon , Dustin Hoffman and Holly Hunter , yet newcomer Ellen Pompeo pulls off the feat with aplomb .",5
57,"This kind of hands-on storytelling is ultimately what makes Shanghai Ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",4
58,"Drawing on an irresistible , languid romanticism , Byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",5
59,Or else a doggie winks .,3
