text,label,cluster
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
"There must be an audience that enjoys the Friday series , but I would n't be interested in knowing any of them personally .",1,1
Full Frontal had no effect and elicited no sympathies for any of the characters .,2,1
` Snow Dogs ' has both .,3,3
"Wow , a jump cut !",3,3
"The movie turns out to be ( Assayas ' ) homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",2,4
"A thoroughly enjoyable , heartfelt coming-of-age comedy .",4,2
"You need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of Haynes ' work .",4,1
"Complex , sinuously plotted and , somehow , off-puttingly cold .",2,2
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
"Good , solid storytelling .",5,3
"The story , once it gets rolling , is nothing short of a great one .",5,1
Moving and vibrant .,5,3
Together ( Time Out and Human Resources ) establish Mr. Cantet as France 's foremost cinematic poet of the workplace .,4,2
Some remarkable achival film about how Shanghai ( of all places ) served Jews who escaped the Holocaust .,4,1
"Before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway .",2,1
What is the filmmakers ' point ?,3,3
A strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet .,5,2
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,5,2
I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,5,1
"Some are fascinating and others are not , and in the end , it is almost a good movie .",3,4
"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",4,4
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
"Elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",5,2
What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,3,1
Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,1,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
"If anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .",5,4
Jones has delivered a solidly entertaining and moving family drama .,5,4
"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5,4
"Narratively , Trouble Every Day is a plodding mess .",2,2
"Chilling in its objective portrait of dreary , lost twenty-first century America .",4,2
The problem with all of this : It 's not really funny .,2,1
"There 's some outrageously creative action in The Transporter ... ( b ) ut by the time Frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",2,1
"All of it works smoothly under the direction of Spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",5,4
"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,4
"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,4
The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,2
