,text,original_label,normalized_entropy
0,"Though the opera itself takes place mostly indoors , Jacquot seems unsure of how to evoke any sort of naturalism on the set .",3,0.5489965743595199
1,"If you can read the subtitles ( the opera is sung in Italian ) and you like ` Masterpiece Theatre ' type costumes , you 'll enjoy this movie .",4,0.5478106184344093
2,"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",4,0.43717223685807505
3,The beauty of Alexander Payne 's ode to the Everyman is in the details .,4,0.44291423723972106
4,The fourth in a series that I 'll bet most parents had thought -- hoped !,3,0.7442309749740078
5,Interesting and thoroughly unfaithful version of Carmen,4,0.4497512075980548
6,"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .",4,0.5702146119488921
7,"Bisset delivers a game performance , but she is unable to save the movie .",3,0.4492448220481006
8,The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .,5,0.22445116642827329
9,"Seemingly a vehicle to showcase the Canadian 's inane ramblings , Stealing Harvard is a smorgasbord of soliloquies about nothing delivered by the former Mr. Drew Barrymore .",1,0.4781009014604132
10,Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,5,0.4148935529764453
11,"Boy , has this franchise ever run out of gas .",1,0.4227081272096503
12,"While there 's likely very little crossover appeal to those without much interest in the Elizabethans ( as well as rank frustration from those in the know about Rubbo 's dumbed-down tactics ) , Much Ado About Something is an amicable endeavor .",4,0.4462159297270205
13,"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",5,0.29674487424040796
14,"Elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .",5,0.16231661553414028
15,A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,5,0.5030608689369771
16,Guys say mean things and shoot a lot of bullets .,2,0.7687493072239162
17,"With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .",5,0.4531975227878356
18,Bravado Kathy !,4,0.6194582816790162
19,Eisenstein lacks considerable brio for a film about one of cinema 's directorial giants .,2,0.36866351164754635
20,"Benigni 's Pinocchio is extremely straight and mind-numbingly stilted , its episodic pacing keeping the film from developing any storytelling flow .",3,0.46983670147716083
21,"Ah , yes , that would be me : fighting off the urge to doze .",1,0.39659954130368924
22,A cockeyed shot all the way .,2,0.7628229150320139
23,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,3,0.5753015072807932
24,"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",2,0.7234549580913071
25,Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,2,0.4803116357157944
26,"There 's no palpable chemistry between Lopez and male lead Ralph Fiennes , plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme .",1,0.2847523683092677
27,"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times .",5,0.2978383138097115
28,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",5,0.1771487212880418
29,About Schmidt is undoubtedly one of the finest films of the year .,5,0.41519126244784055
30,"The film does n't really care about the thousands of Americans who die hideously , it cares about how Ryan meets his future wife and makes his start at the CIA .",2,0.6068368308217468
31,"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",1,0.21425817826744545
32,"The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",4,0.29687938624041965
33,will be far more interesting to the Soderbergh faithful than it will be to the casual moviegoer who might be lured in by Julia Roberts ...,3,0.4182954727555833
34,An uneven mix of dark satire and childhood awakening .,2,0.4133800567223093
35,It 's not a motion picture ; it 's an utterly static picture .,1,0.48770035209511164
36,Deepa Mehta provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world .,4,0.2841989659024559
37,I saw Juwanna Mann so you do n't have to .,3,0.6913291451684046
38,"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",5,0.4209348154912575
39,And it 's a lousy one at that .,1,0.5652547707255143
40,"Complex , sinuously plotted and , somehow , off-puttingly cold .",2,0.46985203667900494
41,( A ) rather thinly-conceived movie .,1,0.1281058751095033
42,"Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",2,0.5664666142717333
43,"A cultural wildcard experience : wacky , different , unusual , even nutty .",5,0.5109085867403415
44,It 's not the least of Afghan tragedies that this noble warlord would be consigned to the dustbin of history .,2,0.7056484620533288
45,Everything that was right about Blade is wrong in its sequel .,2,0.1795911813228263
46,I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,5,0.7141743363659312
47,"Nicks refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",4,0.5654912962945715
48,` Snow Dogs ' has both .,3,0.56727357829001
49,"A classy , sprightly spin on film .",5,0.29695782959806766
50,What is the filmmakers ' point ?,3,0.6626186256664047
51,That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .,5,0.33224940820343213
52,"Hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",2,0.3223271073497257
53,"It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .",3,0.4581702275028249
54,The 50-something lovebirds are too immature and unappealing to care about .,1,0.48827921328913854
55,Completely creatively stillborn and executed in a manner that I 'm not sure could be a single iota worse ... a soulless hunk of exploitative garbage .,1,0.016758471327972882
56,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",4,0.20646542106118668
57,"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",1,0.2836278155171652
58,One suspects that Craven endorses They simply because this movie makes his own look much better by comparison .,2,0.49656491677129083
59,A poignant lyricism runs through Balzac and the Little Chinese Seamstress that transforms this story about love and culture into a cinematic poem .,5,0.42448931807289464
60,Pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of God in the fifth Trek flick .,2,0.5321974534214451
61,"I 've never seen ( a remake ) do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic ...",1,0.2170100854509243
62,"Some are fascinating and others are not , and in the end , it is almost a good movie .",3,0.21394676100008944
63,"Too much of Nemesis has a tired , talky feel .",2,0.1480002702097405
64,Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,4,0.42258400995521284
65,Some remarkable achival film about how Shanghai ( of all places ) served Jews who escaped the Holocaust .,4,0.5027126476668331
66,"Ratliff 's two previous titles , Plutonium Circus and Purgatory County show his penchant for wry , contentious configurations , and this film is part of that delicate canon .",4,0.49930829037301316
67,It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,5,0.4245071415647481
68,Reign of Fire has the disadvantage of also looking cheap .,1,0.34165849263188997
69,The Fast Runner ' transports the viewer into an unusual space,3,0.4693299277372051
70,"To be influenced chiefly by humanity 's greatest shame , reality shows -- reality shows for God 's sake !",1,0.8962187564506343
71,` Hey Arnold ! ',3,0.7508691061058168
72,( It ) has the feel of a summer popcorn movie .,3,0.4437195242529454
73,A tasty masala .,4,0.455048746589415
74,The result is so tame that even slightly wised-up kids would quickly change the channel .,2,0.37095277055334325
75,"`` White Oleander , '' the movie , is akin to a Reader 's Digest condensed version of the source material .",2,0.4737240016603455
76,"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",4,0.5263437467247832
77,"But this new jangle of noise , mayhem and stupidity must be a serious contender for the title .",1,0.7495268825044766
78,"Almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited .",3,0.7608779453898556
79,"Sadly , though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",2,0.2142608187776856
80,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",4,0.35852022476226975
81,Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,1,0.10448428010560937
82,"The narrator and the other characters try to convince us that acting transfigures Esther , but she 's never seen speaking on stage ; one feels cheated , and Esther seems to remain an unchanged dullard .",2,0.6922768945233969
83,How inept is Serving Sara ?,1,0.6770326850148533
84,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .,2,0.37008024011360213
85,What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,3,0.7887009539355994
86,Leigh is one of the rare directors who feels acting is the heart and soul of cinema .,5,0.3774179521635782
87,An enjoyable above average summer diversion .,4,0.4345683425316677
88,"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",4,0.5250917424710301
89,Ah-nuld 's action hero days might be over .,2,0.48555835888189747
90,A bore that tends to hammer home every one of its points .,2,0.3710542057276649
91,"Parents , on the other hand , will be ahead of the plot at all times , and there is n't enough clever innuendo to fil",3,0.6574819377872332
92,It was a dark and stormy night ...,3,0.7572810384325614
93,"Halfway through , however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .",2,0.25989745227093386
94,"Though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",4,0.42315522753549045
95,There are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .,3,0.5159302500384751
