text,label,cluster
No joke. Physics or chemistry I can see but comp 101? I’m surprised he has the ability to find the internet,surprise,14
That is an awesome idea and execution. Also a great example of an actual free market system working right.,admiration,14
My baby niece does this. She fell down a couple stairs in her time and now is real careful with them,realization,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
Wheres the telescope?,curiosity,14
"Andromeda is that type of game that has extreme potential in becoming a great game, but it botched it in all the little things.",approval,14
That is an awesome idea and execution. Also a great example of an actual free market system working right.,admiration,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"Your hamstering is beyond entertaining. There are tons of posts, but you can't find any?",amusement,14
What shouldn’t be lifetime? :),curiosity,14
Wheres the telescope?,curiosity,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
That’s what they get for being greedy 🙃,neutral,14
I’m just glad to finally see something truly cringy in a while,embarrassment,14
‘You’re not so smart’ Wow what a murder /s Trash post,annoyance,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"The real power move is to write ""Have a nice day"" even if you lose.",realization,14
"What do you mean strap around the bulls nuts?!,!? Sorry not into rodeo things ",remorse,22
[NAME] saw it during the football game and was super impressed!,admiration,0
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"The real power move is to write ""Have a nice day"" even if you lose.",realization,14
> Why create more jobs when no one is available to even take them? We could always import more people to fill those jobs.. :),confusion,4
Preach. The nuthuggers and happy go lucky blind sheep if the front office are nowhere to be found. So disappointed in this team.,disappointment,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement,20
"The real power move is to write ""Have a nice day"" even if you lose.",realization,14
That is an awesome idea and execution. Also a great example of an actual free market system working right.,admiration,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"Your hamstering is beyond entertaining. There are tons of posts, but you can't find any?",amusement,14
Dude couldn’t see he had a spool of hair growing on his face?!,surprise,22
This just makes me want sushi.,desire,3
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
Nothing wrong with that! Sounds awesome :),admiration,14
[NAME] deserves to play for a proper club ffs.,admiration,0
Wheres the telescope?,curiosity,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
[NAME] deserves to play for a proper club ffs.,admiration,0
This just makes me want sushi.,desire,3
Get some help with your decision. Maybe your church or some non-profit group in your area can talk you through it. Good luck! Keep us updated.,optimism,12
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"Your hamstering is beyond entertaining. There are tons of posts, but you can't find any?",amusement,14
What shouldn’t be lifetime? :),curiosity,14
Nothing wrong with that! Sounds awesome :),admiration,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"I'm sorry, do people NOT listen to [NAME] 9th while driving?",gratitude,23
"Came here to say exactly this. It's almost the same scene, as if he tried to recreate it",disapproval,0
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,16
"Came here to say exactly this. It's almost the same scene, as if he tried to recreate it",disapproval,0
Wow. Of COURSE this happened,surprise,22
