text,label
"This would-be ` James Bond for the Extreme Generation ' pic is one big , dumb action movie .",1
What a stiflingly unfunny and unoriginal mess this is !,1
The bottom line is the piece works brilliantly .,4
"With Spy Kids 2 : The Island of Lost Dreams , the Spy Kids franchise establishes itself as a durable part of the movie landscape : a James Bond series for kids .",4
"An inconsequential , barely there bit of piffle .",2
Turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing\/reappearing acts,5
Only at the prospect of Beck 's next project .,3
"The case is a convincing one , and should give anyone with a conscience reason to pause .",5
"In theory , a middle-aged romance pairing Clayburgh and Tambor sounds promising , but in practice it 's something else altogether -- clownish and offensive and nothing at all like real life .",2
"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",5
"It has a way of seeping into your consciousness , with lingering questions about what the film is really getting at .",4
"See Scratch for the history , see Scratch for the music , see Scratch for a lesson in scratching , but , most of all , see it for the passion .",5
"A minor work yet there 's no denying the potency of Miller 's strange , fleeting brew of hopeful perseverance and hopeless closure .",3
... this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .,1
The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,5
"The whole affair , true story or not , feels incredibly hokey ... ( it ) comes off like a Hallmark commercial .",2
"A thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` The Thing ' and a geriatric ` Scream . '",1
It makes me say the obvious : Abandon all hope of a good movie ye who enter here .,1
"As part of Mr. Dong 's continuing exploration of homosexuality in America , Family Fundamentals is an earnest study in despair .",4
"As the movie dragged on , I thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign .",1
"A gorgeously strange movie , Heaven is deeply concerned with morality , but it refuses to spell things out for viewers .",4
"There are some laughs in this movie , but Williams ' anarchy gets tiresome , the satire is weak .",2
Eh .,3
One of the most genuinely sweet films to come along in quite some time .,5
"Almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited .",3
Adaptation is simply brilliant .,5
Uzumaki 's interesting social parallel and defiant aesthetic seems a prostituted muse ...,2
"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",3
"Both shrill and soporific , and because everything is repeated five or six times , it can seem tiresomely simpleminded .",1
The movie does has some entertainment value - how much depends on how well you like Chris Rock .,3
"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",3
Too bad .,2
Watching Spirited Away is like watching an Eastern imagination explode .,3
An effortlessly accomplished and richly resonant work .,5
It 's hard to understand why anyone in his right mind would even think to make the attraction a movie .,1
A mildly enjoyable if toothless adaptation of a much better book .,3
"This enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",5
"The more you think about the movie , the more you will probably like it .",4
"Rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",4
Spare yet audacious ...,3
This is the stuff that Disney movies are made of .,4
Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,1
"The picture seems uncertain whether it wants to be an acidic all-male All About Eve or a lush , swooning melodrama in the Intermezzo strain .",2
"It 's super - violent , super-serious and super-stupid .",1
Bravado Kathy !,4
A gift to anyone who loves both dance and cinema,4
Has its share of arresting images .,3
"Not even Solondz 's thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it .",2
"From a deceptively simple premise , this deeply moving French drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .",5
"Dull , a road-trip movie that 's surprisingly short of both adventure and song .",1
"One thing 's for sure -- if George Romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head .",2
"The movie ends with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie .",2
Refreshing .,5
Chai 's structure and pacing are disconcertingly slack .,2
It is n't that Stealing Harvard is a horrible movie -- if only it were that grand a failure !,1
Alternately frustrating and rewarding .,4
Decent but dull .,2
"It may not be history -- but then again , what if it is ?",3
It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,5
"A huge box-office hit in Korea , Shiri is a must for genre fans .",4
