,text,original_label,normalized_entropy
0,Coke is it: BHP coal to double BHP Billiton plans an aggressive \$US1.5-2 billion (\$2.1-2.8 billion) near-doubling of its coking coal production over the next five years to meet the China-inspired surge in demand for carbon steel-making materials through mine expansions and developments ,Business,3.0836046042716313e-07
1,"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",Business,6.616685147684477e-07
2,"Officials Blame Contractors in Tunnel Leak The tunnel containing this city #39;s sunken highway - the crown jewel of the Big Dig, Boston #39;s mammoth \$14.6 billion highway project - is leaking because of improper construction ",Business,0.39103091902264037
3,"Before the Bell: Krispy Kreme Down 11 Pct Shares of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) fell 11 percent before the bell on Monday after the struggling doughnut shop chain reported a quarterly net loss ",Business,1.1860634170619689e-07
4,"Medical Examiner Finds No Injuries on Thanou-Source ATHENS (Reuters) - A medical examiner has found that Greek sprinter Katerina Thanou, who was in hospital with fellow athlete Costas Kenteris, had no injuries, a judicial source said on Tuesday. ",Sports,2.0693950273925708e-08
5,Merck sets up Vioxx review committee BOSTON (CBS.MW) -- Merck  amp; Co. said late Tuesday that it is establishing a committee to review its handling of the controversial withdrawal of its popular painkiller Vioxx from the market.,Business,1.6207352460661667e-07
6,"Anheuser-Busch: World's Drinking More Bud  NEW YORK (Reuters) - Anheuser-Busch Cos. Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BUD.N target=/stocks/quickinfo/fullquote""&gt;BUD.N&lt;/A&gt;, the  largest U.S. brewer, said on Wednesday quarterly profit rose  due to price increases on brands such as Bud Light and strong  growth in its international business, which benefited from the  acquisition of Harbin Brewery in China.",Business,8.383343701160924e-07
7,FT gets Collins Stewart claim struck out The Financial Times today won its action to strike out a record 230.5m libel damages claim from City brokers Collins Stewart that could have closed down the pink paper.,Business,1.7860497733413203e-06
8,DVR To The Rescue! News reachs us from America of another strange tale of DVD hardwire going haywire. A couple of weeks ago a man in Oregon was paid an unexpected visit from the US Air force after his Toshiba with built-in VCR ,Sci/Tech,5.513269872878265e-05
9,Cambodia rush to solve succession Cambodia races to pass laws to decide the sucession after King Sihanouk's abdication announcement.,World,1.486675688828199e-11
10,Storage On A Chip Silicon Image #39;s new lower-cost storage appliance should be more palatable to small and midsize businesses. By Martin J. Garvey.,Sci/Tech,0.006497231306864264
11,Forces Boost Urged to Halt Darfur Killings Calls for the deployment of substantial African forces to Sudan to end the slaughter in Darfur were agreed by Liberal Democrats today.,World,1.4999997695475783e-11
12,"Oil price at new record of above \$54 pb; Brent crosses \$51 pb NEW YORK, October 12 (newratings.com) - World crude oil prices continued their upward rally today above \$54 per barrel, rising to new record high levels for the sixth consecutive day.",Business,7.637423434159034e-08
13,JVC Sides With Blu-ray Disc Company is the latest to choose sides in the next-generation DVD format battle.,Sci/Tech,0.023957610786398766
14,"Mr World Wide Web gets new job THE INVENTOR of the World Wide Web has got a job as a professor at the University of Southampton. That #39;s according to the This is Southampton web site, which said Sir Tim Berners-Lee will become chair of computer ",Sci/Tech,1.1676278078534136e-07
15,"Conn. Man Charged with Selling Secret Windows Code  NEW YORK (Reuters) - A Connecticut man was arrested on  Tuesday on charges that he illegally sold a secret source code  used for Microsoft Corp.'s Windows NT 4.0 and Windows 2000  programs, federal prosecutors said.",Sci/Tech,0.0001562331046995466
16,"Former star Murphy testifies in sex assault trial HOUSTON - Taking the stand in his own defense, Hall of Fame basketball player Calvin Murphy denied allegations that he sexually abused five of his 10 daughters.",Sports,0.0013620759416982419
17,"Supercomputers Help With Hurricane Forecasting Thousands of miles from the rain and wind of Hurricane Ivan, a model of the storm swirls in the memory and processors of a supercomputer that can predict its likely course and strength.",Sci/Tech,8.060238963182415e-08
18,"Will Microsoft Lose The Browser Wars? Will Microsoft Lose The Browser Wars?\\Until recently, software giant, Microsoft's Internet Explorer Web browser enjoyed a relatively unchallenged position as the most popular Web browser in the world.\\Despite lawsuits and charges of unfair competition from the likes of Netscape and others, Microsoft dominates browser software with over 90 market share.\\Microsoft's ...",Sci/Tech,0.0003144834655891161
19,"Soldering plays Spadea next LYON, France -- Robin Soderling made sure none of the top four seeds would reach the semifinals of the Lyon Tennis Grand Prix. Soderling upset the highest seed remaining, No.",Sports,2.9176143356128956e-08
20,"Stocks Drop on \$49 Oil, Slowing Economy  NEW YORK (Reuters) - U.S. blue-chip stocks fell  on  Thursday to nearly a five-week low as crude oil touched \$49 a  barrel, close to the record set last month, and a key gauge of  future economic activity fell for a third straight month.",Business,4.7814209485963386e-08
21,Turkey passes penal code aimed at clearing way for EU TURKEYS parliament met in emergency session yesterday to approve an urgent package of reforms expected to boost the countrys chances of starting membership talks with the European Union.,World,9.636312111002328e-08
22,"Hokies' victory is sweeter this season MIAMI -- Bryan Randall grabbed a set of Mardi Gras beads and waved them aloft, while his teammates exalted in the prospect of a trip to New Orleans.",Sports,4.38222149843287e-09
23,Twinkies maker in crisis There #39;s an old saying in the business world when a sale seems all but assured: It was as easy as selling Hostess Twinkies. That may no longer be true.,Business,1.0792524451706024e-07
24,"Pakistani Jets Attack Militant Hideouts Pakistani jets on Thursday pounded a suspected training facility for foreign militants in a tribal area near the border with Afghanistan, senior intelligence and military officials said.",World,2.0563317814369465e-11
25,"Iraq Insurgents Kill Top Police, Hit U.S. Convoy (Reuters) Reuters - Gunmen killed three high-ranking\Iraqi police officers in two separate attacks on Saturday,\among a daily round of bombings and ambushes targeting U.S.\forces and their Iraqi allies.",World,1.3469782862387427e-10
26,"Shrugging Off Mutiny, Sharon Rejects Gaza Referendum  JERUSALEM (Reuters) - Israeli leader Ariel Sharon rejected  calls from within his mutinous cabinet Wednesday for a  referendum on leaving Gaza after winning parliament's support  to uproot settlements from land claimed by Palestinians.",World,2.288153753018599e-10
27,"Google #39;s Gmail Gets POP Support By adding POP support to its Gmail service, Google is enabling customers to download messages to Microsoft Outlook and other applications.",Sci/Tech,7.318272833225143e-08
28,"Russian mishap threatens launch schedule The explosion of a small separation bolt aboard the Soyuz spaceship now being prepared for a trip to the international space station may delay that launch for five or 10 days, Russian ",Sci/Tech,6.065001203830563e-08
29,"FireFox 1.0 Roundup \\So FireFox 1.0 is released and the world rejoices (congrats guys !).  I sure\hope that Mammonsoft  has started working on IE 7.0 or they'll start to fall\behind.  Granted we have a long way to go before we catch up with Microsoft but\when you're on top you really have only one way to go (and thats down).\\Over at EWeek they're running an inteview with Mitchel Baker which is worth\checking out:\\""There's a whole set of things leading to interest in Firefox. One is the\product itself, which, once people have tried it, people love it. So it's both\innovative, it's got new features, it makes the Web a more enjoyable\experience, it makes people more comfortable, and it's fast. It's a set of\thi ...\\",Sci/Tech,9.974904892148408e-09
30,"Rangers steering through recent skid With a little under three hours to go before the first pitch of a crucial series with the Red Sox, the Texas Rangers -- losers of four straight games -- looked anything but concerned about their immediate fate on the diamond.",Sports,1.7548355679098222e-09
31,British foreign minister arrives in troubled Darfur (AFP) AFP - British Foreign Secretary Jack Straw arrived in Sudan's violence-plagued western region of Darfur to see the plight of refugees driven from their homes by state-sponsored militias.,World,3.289610135017929e-11
32,"To tithe, make it first item in budget WASHINGTON -- Why is the subject of giving such a difficult thing to discuss? Some folks would rather ask someone for a kidney than for a donation to a charitable cause.",Business,0.314339639597536
33,"Encarnacion Leads Marlins Over Rockies 4-3 (AP) AP - Juan Encarnacion hit a two-run single in the first inning and a go-ahead, two-run homer in the eighth, leading the Marlins over Colorado 4-3 Saturday night and extending the Rockies' losing streak to six.",Sports,2.687049218672042e-09
34,"For Minaya, Lots of Wheeling, Not Much Dealing Omar Minaya, the Mets' general manager, is prepared to leave the winter meetings without making a deal, with Carlos Delgado and Richie Sexson seemingly slipping away.",Sports,0.011397078534009735
35,"China wants Canada to hand over North Koreans who stormed embassy (Canadian Press) Canadian Press - BEIJING (CP) - China urged the Canadian Embassy on Thursday to hand over 44 possible North Korean asylum-seekers, while officials said nine North Koreans who entered a U.S. school in Shanghai had been handed over to Chinese police.",World,2.9544763264984975e-11
36,"Nokia makes Good on business phones com November 2, 2004, 11:06 AM PT. Wired  amp; Wireless continues its reign as the top IT priority among IT managers due to widespread IP telephony deployment and other network infrastructure upgrades.",Business,3.569374647574148e-07
37,"Stocks Drop on \$49 Oil, Slowing Economy US blue-chip stocks fell on Thursday to nearly a five-week low as crude oil touched \$49 a barrel, close to the record set last month, and a key gauge of future economic activity fell for a third straight month.",Business,1.1191685870916013e-07
38,"Toshiba Boosts Hard Drive Capacity New perpendicular recording technology could lead to thinner, lighter, 80GB IPods.",Sci/Tech,1.977569752058755e-08
39,"Chirac criticises interference in Iraq hostages release &lt;b&gt;...&lt;/b&gt; PARIS - French President Jacques Chirac has lashed out at a private initiative to secure the release of two French hostages in Iraq as interference and said he hoped it would not thwart the delicate process, aides said Saturday.",World,2.4374812390970687e-10
40,"Transsexual drives off to score a first on the golf course Golf is not a sport renowned for being at ease with gender issues. Many of the game #39;s great clubs refuse to admit women, and the occasional inclusion of women in men #39;s professional tournaments has caused consternation from Arran to Augusta.",Sports,2.181202127784387e-05
41,"First black judge joining British High Court Britain appointed its first black High Court judge yesterday and she predicted she would be ''the first of many. quot; The Department for Constitutional Affairs confirmed the appointment of Linda Dobbs, 53, the first black lawyer promoted beyond the ranks of circuit judges, who hear lesser cases. Joining the High Court will give her access to some of the country's most ...",World,4.60754562144198e-11
42,"Sweeping giants: US dominates 200 A disruptive Greek chorus of whistles, chanting, and catcalls could not derail a crowd-silencing American sweep in the men #39;s 200-meter dash at the Olympic Games last night.",Sports,1.307876209935388e-06
43,"Q A: Microsoft's Linux strategist Martin Taylor With a year under his belt as Microsoft Corp.'s chief Linux strategist, Martin Taylor has a lot to say about where he sees Linux going and how Microsoft plans to compete with the open-source operating system.",Sci/Tech,4.1251804699961003e-08
44,Charlotte Bobcats Pick Up Option on Ely (AP) AP - The Charlotte Bobcats picked up the option on center Melvin Ely for the 2005-06 season.,Sports,2.242360428643803e-09
45,Boxing: Khan will keep feet on ground TEENAGE boxing sensation Amir Khan punched is way to an Olympic silver medal yesterday - then worried about his homework and passing his driving test.,Sports,4.238088976082461e-06
46,"Renewable energy may be offered by Empire Empire Electric #39;s 15,000 member-owners may be able to get all or part of their electricity from renewable sources starting in January.",Sci/Tech,0.7527443445895468
